source_id,target_id,throughput
ALBA,BOST,163416106.661111
ALBA,CLEV,2990002005.23111
ALBA,HART2,1161854616.01
ALBA,HOLY,368484372.263333
ASHB,ATLA,7564989701.88111
ASHB,CLEV,61649708909.0745
ASHB,NEWY32AOA,23249133673.8367
ASHB,PHIL,14984408267.1744
ASHB,PITT,2212682750.78889
ASHB,RALE,41425742967.6167
ASHB,WASH,34576580008.6989
ATLA,ASHB,28224705650.87
ATLA,CHAR,1907621848.65778
ATLA,JACK,5715174865.53444
ATLA,NASH,5061500400.92
BOIS,SALT,1210115814.34111
BOIS,SEAT,101267788.28
BOST,ALBA,175683448.443333
BOST,BOST2,2295499401.03778
BOST2,BOST,3661289220.79222
BOST2,HART2,7814918295.57111
BOST2,HOLY,57045.7533333333
CHAR,ATLA,1018137023.17333
CHAR,RALE,31983710069.5578
CHIC,CINC,34419855687.2567
CHIC,EQCH,46313228170.5245
CHIC,INDI,10153275646.8433
CHIC,KANS,82430543807.7533
CHIC,STAR,9318602332.86667
CINC,CHIC,9538542292.07001
CINC,CLEV,2729590679.92778
CINC,INDI,3416701060.55889
CINC,LOUI,9064662.65444442
CINC,NASH,24083237836.7045
CLEV,ALBA,5225521879.38333
CLEV,ASHB,39344008200.2723
CLEV,CINC,19906109911.4456
CLEV,EQCH,55488996082.7522
CLEV,NEWY32AOA,57042.1111111111
CLEV,PITT,2864989000.03
CLEV,TOLE2,1065608266.67222
DALL,DALL3,13546288223.193333
DALL,HOUS,26595640634.26107
DALL,KANS,24997939099.9645
DALL,TULS,3685502623.27111
DALL3,DALL,49716097639.24783
DENV,ELPA,622266479.8788891
DENV,KANS,59578010094.403305
DENV,SALT,57434049645.630005
ELPA,DENV,398962751.23222166
ELPA,HOUS,5315702527.50111
ELPA,LOSA,4953730514.52667
ELPA,TUCS,2159962499.82445
EQCH,CHIC,103991712280.9655
EQCH,CLEV,60027645092.7556
EQCH,MINN,2233084852.0488877
EQCH,STAR,27939600998.433334
EQCH,TOLE2,1567220216.18333
FARG,MINN,230853408.12
FARG,SEAT,2059376730.74778
HART2,ALBA,1291794472.04889
HART2,BOST2,7456945510.88
HART2,NEWY32AOA,21885938576.3167
HOLY,ALBA,544224888.326667
HOLY,BOST2,56943.7688888889
HOUH,HOUS,5491031615.02111
HOUH,PENS,1586427083.05778
HOUS,DALL,7339920940.945551
HOUS,ELPA,6646395894.82778
HOUS,HOUH,5744071127.40222
HOUS,JCSN,4565052013.32889
HOUS,NASH,5084460671.87555
INDI,CHIC,1026290690.18222
INDI,CINC,1054312085.71222
JACK,ATLA,3899589309.98222
JACK,PENS,3263420283.15666
JCSN,HOUS,115572936.92
JCSN,NASH,610550533.135556
KANS,CHIC,56787252845.6111
KANS,DALL,14670340291.9778
KANS,DENV,60878392494.6644
KANS,MINN,130155585.787778
KANS,TULS,17342275098.1655
LASV,LOSA,494673113.587778
LASV,SALT,177489554.703333
LOSA,ELPA,3721514375.63111
LOSA,LASV,6351306760.16889
LOSA,LOSA2,21463175397.111107
LOSA,PHOE,7896666074.99112
LOSA,SALT,21363486903.9289
LOSA,SUNN,4436410328.45334
LOSA2,LOSA,19696220715.301117
LOUI,CINC,497212.028888889
LOUI,NASH,71783076.9855556
MINN,EQCH,1882578096.6022189
MINN,FARG,2059424088.53
MINN,KANS,65202262.16
MINN,MISS,353612550.68
MISS,MINN,58585944.9666667
MISS,SEAT,389597852.787778
NASH,ATLA,5636162478.46778
NASH,CINC,4646939424.88333
NASH,HOUS,3004886322.18222
NASH,JCSN,2720760764.97333
NASH,LOUI,481360185.475555
NEWY32AOA,ASHB,57708956681.6267
NEWY32AOA,CLEV,56447.84
NEWY32AOA,HART2,8805571895.19889
NEWY32AOA,PHIL,6032901709.02444
PENS,HOUH,3263833501.44889
PENS,JACK,1491190904.85889
PHIL,ASHB,14414836291.0489
PHIL,NEWY32AOA,221211451.061111
PHOE,LOSA,949917296.785555
PHOE,TUCS,239243159.748889
PITT,ASHB,7924514069.34111
PITT,CLEV,1886604997.85556
PORT,SACR,176103176.783333
PORT,SEAT,737407342.272222
RALE,ASHB,37181143249.5611
RALE,CHAR,14986775597.2689
SACR,PORT,93810155.6333333
SACR,SALT,6845480662.99556
SACR,SEAT,4707048395.67778
SACR,SUNN,15904267522.64333
SALT,BOIS,605023546.163333
SALT,DENV,42834501792.3378
SALT,LASV,3085632920.57889
SALT,LOSA,32896098564.7145
SALT,SACR,6895661365.54
SALT,SEAT,20906225020.2544
SANJ,SUNN,11399111132.29445
SEAT,BOIS,70257.9066666667
SEAT,FARG,233823096.542222
SEAT,MISS,968897543.162222
SEAT,PORT,2450920868.28445
SEAT,SACR,3885007711.06556
SEAT,SALT,16721098960.3889
STAR,CHIC,9949250551.65889
STAR,EQCH,24067407231.21556
SUNN,LOSA,8741565861.86555
SUNN,SACR,12005256074.59556
SUNN,SANJ,8937988145.70778
TOLE2,CLEV,468842761.334444
TOLE2,EQCH,5083240239.34
TUCS,ELPA,1996026161.27333
TUCS,PHOE,1341933682.38
TULS,DALL,1662997495.57523
TULS,KANS,6733501585.42152
WASH,ASHB,36192336325.40303
