source_id,target_id
ALBQ,DENV
ALBQ,ELPA
ALBQ,KCNSC-NM
ALBQ,LANL
ALBQ,LANLTA03
ALBQ,SNLNM
AMES,AMESHWH
AMES,AMESHWHB
AMESHWH,AMES
AMESHWH,AMESHWHB
AMESHWH,KANS
AMESHWHB,AMES
AMESHWHB,AMESHWH
AMESHWHB,CHIC
ANL,ANL221
ANL,ANL541B
ANL,FNALFCC
ANL,STAR
ANL221,ANL
ANL221,ANL541B
ANL221,FNAL
ANL221,FNALFCC
ANL541B,ANL
ANL541B,ANL221
ANL541B,EQXCH2
ANL541B,STAR
ATLA,CHAT
ATLA,HOUS
ATLA,JLAB12
ATLA,WASH
BNL,BNL515
BNL,BNL725
BNL515,BNL
BNL515,BNL515B
BNL515,BNL725
BNL515,NEWY325HUDSON
BNL515B,BNL515
BNL725,BNL
BNL725,BNL515
BNL725,NEWY32AOA
BOIS,INLEIL
BOIS,PNNLISB2
BOIS,SALT
BOIS,SEAT
BOST,CERN513
BOST,EQXAM3
BOST,EQXCH2
BOST,EQXLD8
BOST,LNS
BOST,NEWY325HUDSON
BOST,PSFC
CERN,CERN513
CERN,CERN773
CERN513,BOST
CERN513,CERN
CERN513,CERN773
CERN513,EQXAM3
CERN513,WASH
CERN773,CERN
CERN773,CERN513
CERN773,EQXLD8
CHAT,ATLA
CHAT,NASH
CHAT,ORNL1064
CHIC,AMESHWHB
CHIC,EQXCH2
CHIC,FNALGCC
CHIC,FRIB
CHIC,KANS
CHIC,NASH
CHIC,STAR
DENV,ALBQ
DENV,KANS
DENV,LANLTA50
DENV,NRELESIF
DENV,NRELRSF
DENV,SALT
ELPA,ALBQ
ELPA,HOUS
ELPA,SAND
EQXAM3,BOST
EQXAM3,CERN513
EQXAM3,EQXLD8
EQXAM3,NEWY32AOA
EQXCH2,ANL541B
EQXCH2,BOST
EQXCH2,CHIC
EQXCH2,EQXDC4
EQXCH2,STAR
EQXDA3,HOUS
EQXDA3,KANS
EQXDA3,PANTEX1237
EQXDC4,EQXCH2
EQXDC4,GERMANTOWN
EQXDC4,JLAB205
EQXDC4,LANL-DC-TAMU
EQXDC4,NETLMGN
EQXDC4,NETLPGH
EQXDC4,WASH
EQXLD8,BOST
EQXLD8,CERN773
EQXLD8,EQXAM3
EQXLD8,NEWY32AOA
EQXSV5,LOSA
EQXSV5,SUNN
FABRIC,WASH
FNAL,ANL221
FNAL,FNALFCC
FNAL,FNALGCC
FNALFCC,ANL
FNALFCC,ANL221
FNALFCC,FNAL
FNALFCC,FNALGCC
FNALGCC,CHIC
FNALGCC,FNAL
FNALGCC,FNALFCC
FORRESTAL,GERMANTOWN
FORRESTAL,WASH
FRIB,CHIC
FRIB,FRIB
FRIB,FRIB
FRIB,STAR
GA,GA
GA,GA
GA,LOSA
GA,SAND
GERMANTOWN,EQXDC4
GERMANTOWN,FORRESTAL
HLAN,PNNLEMSL
HLAN,PNNLISB2
HOUS,ATLA
HOUS,ELPA
HOUS,EQXDA3
HOUS,NASH
HOUS,PANTEX
HPDF-JLAB,JLAB12
HPDF-JLAB,JLAB205
INL,INLEIL
INL,INLEROB
INLEIL,BOIS
INLEIL,INL
INLEIL,INLEROB
INLEROB,INL
INLEROB,INLEIL
INLEROB,SALT
JLAB,JLAB12
JLAB,JLAB205
JLAB12,ATLA
JLAB12,HPDF-JLAB
JLAB12,JLAB
JLAB12,JLAB205
JLAB205,EQXDC4
JLAB205,HPDF-JLAB
JLAB205,JLAB
JLAB205,JLAB12
KANS,AMESHWH
KANS,CHIC
KANS,DENV
KANS,EQXDA3
KANS,KCNSC
KCNSC,KANS
KCNSC,KCNSC
KCNSC,KCNSC
KCNSC-NM,ALBQ
LANL,ALBQ
LANL,LANLTA03
LANL,LANLTA50
LANL,LLNL
LANL-DC,WASH
LANL-DC-TAMU,EQXDC4
LANL-DR-NNSS,NNSS
LANL-NNSS,LASV
LANL-WA,PNNLISB2
LANLTA03,ALBQ
LANLTA03,LANL
LANLTA03,LANLTA50
LANLTA03,LLNL-SITE
