source_id,target_id,throughput
ALBA,BOST,7544061
ALBA,CLEV,92300490
ALBA,HART2,11292035
ALBA,HOLY,16438688
ASHB,ATLA,36305595
ASHB,CLEV,404778249
ASHB,NEWY32AOA,163759069
ASHB,PHIL,81121613
ASHB,PITT,25752764
ASHB,RALE,96303938
ASHB,WASH,197157045
ATLA,ASHB,130537662
ATLA,CHAR,13697623
ATLA,JACK,81309276
ATLA,NASH,69701083
BOIS,SALT,49540247
BOIS,SEAT,152206084
BOST,ALBA,75650417
BOST,BOST2,51080660
BOST2,BOST,100201395
BOST2,HART2,153221982
BOST2,HOLY,3353011
CHAR,ATLA,46908350
CHAR,RALE,277808601
CHIC,CINC,148852842
CHIC,EQCH,425250447
CHIC,INDI,37600804
CHIC,KANS,610403202
CHIC,STAR,78190188
CINC,CHIC,119662052
CINC,CLEV,15703468
CINC,INDI,18542544
CINC,LOUI,2054941
CINC,NASH,90125331
CLEV,ALBA,146312845
CLEV,ASHB,218908249
CLEV,CINC,66129030
CLEV,EQCH,508127110
CLEV,NEWY32AOA,8146838
CLEV,PITT,19765133
CLEV,TOLE2,9763614
DALL,DALL3,91710400
DALL,HOUS,79249375
DALL,KANS,144572963
DALL,TULS,20595099
DALL3,DALL,196549604
DENV,ELPA,13289359
DENV,KANS,388154776
DENV,SALT,498445194
ELPA,DENV,8055059
ELPA,HOUS,61214995
ELPA,LOSA,77105988
ELPA,TUCS,10764079
EQCH,CHIC,639637031
EQCH,CLEV,514935665
EQCH,MINN,31374149
EQCH,STAR,181335732
EQCH,TOLE2,21521968
HART2,ALBA,61887797
HART2,BOST2,84104515
HART2,NEWY32AOA,215062229
HOLY,ALBA,11767249
HOLY,BOST2,3122087
HOUH,HOUS,140254698
HOUH,PENS,26230277
HOUS,DALL,50744354
HOUS,ELPA,81214690
HOUS,HOUH,46939778
HOUS,JCSN,7640936
HOUS,NASH,34729188
INDI,CHIC,147311224
INDI,CINC,175856096
JACK,ATLA,104441870
JACK,PENS,72192837
JCSN,HOUS,2374085
JCSN,NASH,5708252
KANS,CHIC,425919937
KANS,DALL,104982838
KANS,DENV,497061477
KANS,MINN,5009049
KANS,TULS,64112479
LASV,LOSA,2818018
LASV,SALT,2820810
LOSA,ELPA,45224761
LOSA,LASV,17341612
LOSA,LOSA2,229468149
LOSA,PHOE,25285581
LOSA,SALT,154265423
LOSA,SUNN,51911729
LOSA2,LOSA,77758907
LOUI,CINC,79110089
LOUI,NASH,85393345
MINN,EQCH,16297245
MINN,FARG,14454472
MINN,KANS,30610819
MINN,MISS,7987656
MISS,MINN,34867139
MISS,SEAT,8586232
NASH,ATLA,28810301
NASH,CINC,78598764
NASH,HOUS,34370793
NASH,JCSN,6359432
NASH,LOUI,1701598
NEWY32AOA,ASHB,523853231
NEWY32AOA,CLEV,412672759
NEWY32AOA,HART2,102137675
NEWY32AOA,PHIL,29928112
PENS,HOUH,70052346
PENS,JACK,80026137
PHIL,ASHB,663700279
PHIL,NEWY32AOA,574506483
PHOE,LOSA,106461784
PHOE,TUCS,58434333
PITT,ASHB,57512671
PITT,CLEV,15334592
PORT,SACR,24988169
PORT,SEAT,10655099
RALE,ASHB,319329539
RALE,CHAR,58735102
SACR,PORT,3748645
SACR,SALT,222440140
SACR,SEAT,24118595
SACR,SUNN,416106033
SALT,BOIS,15197213
SALT,DENV,280503832
SALT,LASV,17930052
SALT,LOSA,277913858
SALT,SACR,78606747
SALT,SEAT,154273082
SANJ,SUNN,71340344
SEAT,BOIS,361858
SEAT,FARG,3757773
SEAT,MISS,10788689
SEAT,PORT,25563755
SEAT,SACR,23498967
SEAT,SALT,64579097
STAR,CHIC,91886947
STAR,EQCH,399933759
SUNN,LOSA,350412402
SUNN,SACR,251531399
SUNN,SANJ,105053265
TOLE2,CLEV,18775754
TOLE2,EQCH,50165251
TUCS,ELPA,66832759
TUCS,PHOE,103688289
TULS,DALL,12448250
TULS,KANS,74757849
WASH,ASHB,329709991
