source_id,target_id,rtt
6427,6386,13.428159
6913,6427,22.666232
6915,6427,46.201537
6915,6849,104.523274
6803,6427,34.347306
6427,6849,11.876803
7018,6386,34.449008
6913,6849,33.309217
6849,6386,24.142255
7111,6386,46.786838
7018,6427,22.869936
6803,6386,46.012178
6916,6427,12.231469
6913,6386,10.755385
6386,6849,24.211282
6386,6427,13.497334
7111,6427,33.946188
6849,6427,11.826032
6916,6386,0.422402
6915,6386,49.271602
6803,6849,46.385852
7018,6849,55.423584
6849,6913,33.24336
6427,6913,22.67553
6386,6915,48.914399
6427,6915,46.216224
7018,6913,43.971838
6803,6913,50.242032
6849,6915,104.558731
7111,6849,48.422792
6913,6915,29.130947
6916,6915,38.759197
7111,6913,54.834028
6803,6915,74.789025
7111,6915,79.478459
6916,6913,10.64741
7018,6915,68.437553
6916,6849,23.033723
6915,6913,29.352858
6386,6913,10.730527
6386,6916,0.39923
6427,6916,12.123842
6915,6916,39.146111
6913,6916,10.577016
6849,6916,22.985391
7018,6916,33.602746
7111,6916,43.409179
6386,6803,46.002005
6803,6916,41.001311
6427,6803,34.220804
6913,6803,50.320206
6916,6803,40.972327
6915,6803,75.067608
7111,6803,8.256631
7018,6803,72.821463
6386,7111,46.766581
6427,7111,33.826387
6849,7111,48.389291
6913,7111,54.865269
6915,7111,79.597852
6916,7111,43.224703
6427,7018,22.634609
6386,7018,34.361325
6803,7111,8.255451
7018,7111,77.413342
6915,7018,68.25381
6913,7018,43.921615
6849,6803,46.292014
6916,7018,33.604096
7111,7018,77.376312
6803,7018,72.814711
6849,7018,55.460145
