source_id,target_id,rtt
6072,6092,22.220441
6072,6101,70.768573
6072,6229,72.10967
6072,6274,65.48167
6072,6287,41.076823
6072,6341,6.154198
6072,6343,17.608702
6072,6373,44.151792
6072,6379,12.212177
6072,6388,22.813728
6072,6389,25.349103
6072,6411,70.008027
6072,6418,31.753953
6072,6434,66.039331
6072,6436,6.906604
6072,6437,44.021576
6072,6452,30.161113
6072,6454,20.052725
6072,6480,64.358568
6072,6492,90.052416
6072,6525,63.825408
6072,6549,7.043352
6072,6565,24.828099
6072,6588,5.566221
6072,6634,27.38498
6072,6644,19.093638
6072,6692,60.280446
6072,6769,20.395818
6072,6781,16.165123
6072,6782,35.902223
6072,6797,6.173847
6072,6831,73.973032
6072,6835,40.524635
6072,6875,12.926096
6072,6925,39.95075
6072,6957,7.655305
6072,7014,27.023315
6072,7052,70.477745
6072,7058,25.532354
6072,7087,43.381165
6072,7095,20.366799
6072,7157,77.721562
6072,7158,24.09809
6072,7199,50.686682
6072,7224,10.195045
6072,7229,74.609611
6092,6072,22.15525
6092,6101,62.507344
6092,6229,68.692643
6092,6274,67.445643
6092,6287,42.818972
6092,6341,2.049513
6092,6343,21.029789
6092,6373,35.270114
6092,6379,6.470746
6092,6388,13.326857
6092,6389,41.729664
6092,6411,68.575215
6092,6418,25.316524
6092,6434,64.704127
6092,6436,23.68861
6092,6437,37.289223
6092,6452,24.103179
6092,6454,16.728721
6092,6480,66.335117
6092,6492,71.16015
6092,6525,67.08288
6092,6549,23.49129
6092,6565,25.363043
6092,6588,1.374989
6092,6634,30.347861
6092,6644,6.472167
6092,6692,52.582456
6092,6769,0.764793
6092,6781,28.4208
6092,6782,35.195135
6092,6797,1.55234
6092,6831,75.941917
6092,6835,40.773445
6092,6875,13.959474
6092,6925,37.485231
6092,6957,1.35193
6092,7014,2.9179
6092,7052,67.165046
6092,7058,21.168745
6092,7087,35.591227
6092,7095,22.104928
6092,7157,80.942973
6092,7158,4.842102
6092,7199,34.165504
6092,7224,28.050609
6092,7229,76.316861
6101,6072,70.780091
6101,6092,62.565228
6101,6229,13.364885
6101,6274,33.871651
6101,6287,53.874546
6101,6341,52.636369
6101,6343,52.019519
6101,6373,33.249899
6101,6379,48.921745
6101,6388,69.8447
6101,6389,56.186009
6101,6411,40.91562
6101,6418,78.597114
6101,6434,33.2265
6101,6436,56.781278
6101,6437,23.717126
6101,6452,50.457619
6101,6454,43.248975
6101,6480,19.107537
6101,6492,19.322907
6101,6525,19.160674
6101,6549,58.590707
6101,6565,46.500963
6101,6588,54.896403
6101,6634,57.644993
6101,6644,58.543081
6101,6692,59.793118
6101,6769,65.859997
6101,6781,59.496008
6101,6782,23.825297
6101,6797,66.263363
6101,6831,30.221998
6101,6835,22.266431
6101,6875,67.226815
6101,6925,33.055472
6101,6957,56.225446
6101,7014,56.269501
6101,7052,26.202746
6101,7058,71.132248
6101,7087,39.870557
6101,7095,58.8553
6101,7157,26.547371
6101,7158,56.655953
6101,7199,46.04915
6101,7224,65.667825
6101,7229,36.925108
6229,6072,71.991842
6229,6092,67.991078
6229,6101,12.998528
6229,6274,34.996037
6229,6287,66.991209
6229,6341,62.992879
6229,6343,56.993555
6229,6373,46.994671
6229,6379,70.990685
6229,6388,66.991209
6229,6389,68.992181
6229,6411,11.99864
6229,6418,83.990481
6229,6434,38.995584
6229,6436,70.990685
6229,6437,43.995014
6229,6452,62.992861
6229,6454,55.992652
6229,6480,14.9983
6229,6492,20.99762
6229,6525,10.998753
6229,6549,69.992074
6229,6565,56.993546
6229,6588,61.992983
6229,6634,56.993557
6229,6644,69.990816
6229,6692,60.993095
6229,6769,76.991275
6229,6781,83.990482
6229,6782,39.995471
6229,6797,70.991969
6229,6831,22.997398
6229,6835,32.996264
6229,6875,77.991161
6229,6925,47.993703
6229,6957,61.99297
6229,7014,66.992408
6229,7052,16.998072
6229,7058,84.990369
6229,7087,44.994901
6229,7095,65.992521
6229,7157,20.997619
6229,7158,69.992068
6229,7199,72.991739
6229,7224,66.992417
6229,7229,32.996269
6274,6072,65.478382
6274,6092,67.44291
6274,6101,33.85832
6274,6229,35.733961
6274,6287,37.634029
6274,6341,66.94107
6274,6343,43.875881
6274,6373,37.694827
6274,6379,71.804367
6274,6388,67.976374
6274,6389,54.752306
6274,6411,18.540278
6274,6418,71.85511
6274,6434,0.957736
6274,6436,59.178077
6274,6437,52.820221
6274,6452,70.783132
6274,6454,55.336106
6274,6480,20.081087
6274,6492,36.517729
6274,6525,19.506122
6274,6549,65.395012
6274,6565,54.043926
6274,6588,66.656714
6274,6634,50.293506
6274,6644,59.156134
6274,6692,67.724971
6274,6769,73.259919
6274,6781,69.326177
6274,6782,53.576431
6274,6797,64.686747
6274,6831,29.375608
6274,6835,27.3196
6274,6875,69.729374
6274,6925,57.586599
6274,6957,65.84171
6274,7014,66.134444
6274,7052,29.728319
6274,7058,65.509703
6274,7087,47.596657
6274,7095,69.4113
6274,7157,25.41838
6274,7158,71.935891
6274,7199,77.914781
6274,7224,60.876762
6274,7229,3.93976
6287,6072,
6287,6092,
6287,6101,
6287,6229,
6287,6274,
6287,6341,45.048262
6287,6343,25.382232
6287,6373,26.208544
6287,6379,60.609041
6287,6388,45.925256
6287,6389,34.42356
6287,6411,56.099976
6287,6418,60.715378
6287,6434,37.457481
6287,6436,40.190193
6287,6437,39.196517
6287,6452,56.063374
6287,6454,39.847438
6287,6480,55.794856
6287,6492,67.737351
6287,6525,55.665341
6287,6549,39.856557
6287,6565,30.459985
6287,6588,41.340805
6287,6634,22.551281
6287,6644,38.684319
6287,6692,55.909876
6287,6769,38.757787
6287,6781,46.314172
6287,6782,37.021536
6287,6797,74.362328
6287,6831,65.899858
6287,6835,32.798591
6287,6875,50.348234
6287,6925,53.989707
6287,6957,40.234143
6287,7014,47.538956
6287,7052,63.664999
6287,7058,45.358947
6287,7087,48.509731
6287,7095,39.100888
6287,7157,67.194059
6287,7158,43.015897
6287,7199,56.55507
6287,7224,39.642329
6287,7229,45.026669
6341,6072,6.147951
6341,6092,2.088456
6341,6101,52.630779
6341,6229,63.365396
6341,6274,66.926217
6341,6287,45.098683
6341,6343,19.694784
6341,6373,40.235865
6341,6379,9.967539
6341,6388,9.900802
6341,6389,26.56032
6341,6411,76.923857
6341,6418,24.932127
6341,6434,78.914824
6341,6436,7.876853
6341,6437,55.838123
6341,6452,27.996714
6341,6454,15.006444
6341,6480,69.022488
6341,6492,70.349061
6341,6525,64.234618
6341,6549,7.650995
6341,6565,32.488998
6341,6588,3.596582
6341,6634,38.04433
6341,6644,8.043079
6341,6692,53.977302
6341,6769,1.737969
6341,6781,13.81768
6341,6782,31.606969
6341,6797,8.181639
6341,6831,78.287656
6341,6835,47.118397
6341,6875,13.643068
6341,6925,45.670144
6341,6957,1.915425
6341,7014,2.708404
6341,7052,79.851888
6341,7058,18.422838
6341,7087,35.589215
6341,7095,7.594348
6341,7157,74.973201
6341,7158,5.914842
6341,7199,35.424125
6341,7224,10.922294
6341,7229,86.534369
6343,6072,17.568093
6343,6092,21.014516
6343,6101,52.006774
6343,6229,58.042261
6343,6274,43.870296
6343,6287,25.341636
6343,6341,19.669768
6343,6373,20.221293
6343,6379,24.631799
6343,6388,14.909067
6343,6389,21.888606
6343,6411,49.486397
6343,6418,4.632284
6343,6434,39.639382
6343,6436,20.740103
6343,6437,19.935581
6343,6452,40.751368
6343,6454,23.364461
6343,6480,48.910696
6343,6492,71.215481
6343,6525,50.082826
6343,6549,20.855777
6343,6565,6.036618
6343,6588,18.8901
6343,6634,10.002634
6343,6644,19.162547
6343,6692,32.486488
6343,6769,16.389697
6343,6781,20.68747
6343,6782,21.083192
6343,6797,18.895483
6343,6831,58.184478
6343,6835,31.950622
6343,6875,21.050006
6343,6925,21.241233
6343,6957,22.140562
6343,7014,23.117512
6343,7052,57.505693
6343,7058,22.519323
6343,7087,30.253557
6343,7095,20.540269
6343,7157,49.883178
6343,7158,24.828283
6343,7199,43.393021
6343,7224,20.849128
6343,7229,59.567346
6373,6072,44.112582
6373,6092,35.230157
6373,6101,33.21806
6373,6229,47.17027
6373,6274,37.660167
6373,6287,26.187621
6373,6341,40.226917
6373,6343,20.178028
6373,6379,38.348991
6373,6388,40.13656
6373,6389,20.282246
6373,6411,54.350712
6373,6418,45.095767
6373,6434,38.157573
6373,6436,30.029149
6373,6437,10.853023
6373,6452,43.927228
6373,6454,29.410881
6373,6480,35.581452
6373,6492,49.011198
6373,6525,35.86386
6373,6549,29.746209
6373,6565,13.538694
6373,6588,38.020784
6373,6634,30.31591
6373,6644,30.221378
6373,6692,62.667406
6373,6769,35.387748
6373,6781,26.527835
6373,6782,11.375875
6373,6797,34.528965
6373,6831,45.084994
6373,6835,11.390177
6373,6875,33.310802
6373,6925,0.286026
6373,6957,43.943146
6373,7014,44.193267
6373,7052,53.348683
6373,7058,28.818595
6373,7087,8.61554
6373,7095,29.159198
6373,7157,38.588894
6373,7158,38.000077
6373,7199,36.415798
6373,7224,41.038503
6373,7229,47.181346
6379,6072,12.20669
6379,6092,6.466578
6379,6101,48.914182
6379,6229,71.206204
6379,6274,71.77255
6379,6287,60.586096
6379,6341,9.939245
6379,6343,24.622021
6379,6373,38.311706
6379,6388,27.056171
6379,6389,29.403107
6379,6411,74.649104
6379,6418,37.468413
6379,6434,73.878943
6379,6436,13.078836
6379,6437,33.509819
6379,6452,25.634777
6379,6454,13.44236
6379,6480,63.761348
6379,6492,80.009093
6379,6525,65.006093
6379,6549,14.042839
6379,6565,30.835421
6379,6588,7.428277
6379,6634,41.989624
6379,6644,14.590051
6379,6692,49.534691
6379,6769,9.330686
6379,6781,19.638782
6379,6782,27.061203
6379,6797,7.648684
6379,6831,74.83216
6379,6835,53.397774
6379,6875,19.58453
6379,6925,38.000968
6379,6957,7.398235
6379,7014,16.311304
6379,7052,69.588398
6379,7058,24.378207
6379,7087,38.051087
6379,7095,14.314479
6379,7157,75.159875
6379,7158,8.026464
6379,7199,28.424869
6379,7224,17.686527
6379,7229,77.347655
6388,6072,22.8024
6388,6092,13.314639
6388,6101,69.855225
6388,6229,67.688864
6388,6274,67.956837
6388,6287,45.880616
6388,6341,9.880475
6388,6343,14.912582
6388,6373,40.134414
6388,6379,27.099615
6388,6389,15.533407
6388,6411,74.83251
6388,6418,14.780891
6388,6434,57.303707
6388,6436,24.896659
6388,6437,35.333037
6388,6452,34.028177
6388,6454,23.867067
6388,6480,67.744538
6388,6492,64.013864
6388,6525,67.712627
6388,6549,15.716008
6388,6565,24.108849
6388,6588,13.688766
6388,6634,34.609084
6388,6644,17.61377
6388,6692,55.779518
6388,6769,20.863344
6388,6781,21.03742
6388,6782,35.304445
6388,6797,12.825371
6388,6831,77.462992
6388,6835,43.790497
6388,6875,21.106051
6388,6925,37.345867
6388,6957,12.780757
6388,7014,12.604883
6388,7052,71.138491
6388,7058,25.55001
6388,7087,51.937324
6388,7095,14.990406
6388,7157,73.625352
6388,7158,17.009883
6388,7199,35.458028
6388,7224,17.791127
6388,7229,68.543484
6389,6072,25.32184
6389,6092,41.697688
6389,6101,56.174464
6389,6229,69.132083
6389,6274,54.714363
6389,6287,34.382341
6389,6341,26.569344
6389,6343,21.855432
6389,6373,20.275054
6389,6379,29.439125
6389,6388,15.527753
6389,6411,85.16846
6389,6418,15.914466
6389,6434,67.409253
6389,6436,21.29696
6389,6437,37.736803
6389,6452,37.706248
6389,6454,24.324162
6389,6480,53.318054
6389,6492,66.661752
6389,6525,53.923067
6389,6549,20.962208
6389,6565,25.304698
6389,6588,18.845124
6389,6634,30.126322
6389,6644,21.785772
6389,6692,49.497588
6389,6769,25.392676
6389,6781,17.749479
6389,6782,38.180669
6389,6797,20.82855
6389,6831,62.924751
6389,6835,30.302274
6389,6875,24.301857
6389,6925,20.174224
6389,6957,19.972228
6389,7014,25.187946
6389,7052,63.933382
6389,7058,24.424773
6389,7087,35.068746
6389,7095,22.197708
6389,7157,73.493099
6389,7158,21.708492
6389,7199,38.819912
6389,7224,23.644028
6389,7229,65.373136
6411,6072,69.966947
6411,6092,68.539299
6411,6101,40.818893
6411,6229,12.643372
6411,6274,18.518103
6411,6287,56.076798
6411,6341,76.844439
6411,6343,49.49402
6411,6373,54.342952
6411,6379,74.642265
6411,6388,74.867391
6411,6389,85.155738
6411,6418,67.60281
6411,6434,18.997634
6411,6436,74.732247
6411,6437,42.732577
6411,6452,85.530951
6411,6454,67.299905
6411,6480,1.143987
6411,6492,43.718298
6411,6525,1.987713
6411,6549,73.958697
6411,6565,76.577423
6411,6588,65.681764
6411,6634,70.13019
6411,6644,73.820792
6411,6692,99.558934
6411,6769,68.563301
6411,6781,75.718165
6411,6782,43.280191
6411,6797,64.605071
6411,6831,10.871825
6411,6835,70.131355
6411,6875,76.320009
6411,6925,74.18378
6411,6957,69.531629
6411,7014,77.089288
6411,7052,9.14961
6411,7058,78.12523
6411,7087,72.506059
6411,7095,69.570567
6411,7157,6.141659
6411,7158,76.818109
6411,7199,86.380327
6411,7224,68.932741
6411,7229,18.493474
6418,6072,31.701484
6418,6092,25.219422
6418,6101,78.501273
6418,6229,84.332007
6418,6274,71.784601
6418,6287,60.690833
6418,6341,24.882313
6418,6343,4.551223
6418,6373,45.052734
6418,6379,37.393995
6418,6388,14.745561
6418,6389,15.878919
6418,6411,67.597943
6418,6434,43.869899
6418,6436,29.109773
6418,6437,37.439507
6418,6452,47.031015
6418,6454,34.974092
6418,6480,82.210243
6418,6492,78.436215
6418,6525,82.042056
6418,6549,32.747644
6418,6565,24.064097
6418,6588,24.912562
6418,6634,45.553193
6418,6644,32.082935
6418,6692,66.494266
6418,6769,22.817059
6418,6781,38.635361
6418,6782,50.144952
6418,6797,27.184841
6418,6831,91.877854
6418,6835,53.02824
6418,6875,38.937873
6418,6925,61.813148
6418,6957,27.114195
6418,7014,22.909099
6418,7052,81.702322
6418,7058,43.32702
6418,7087,66.352465
6418,7095,32.66089
6418,7157,86.892024
6418,7158,31.508776
6418,7199,39.656868
6418,7224,34.889985
6418,7229,66.668354
6434,6072,66.003804
6434,6092,64.736842
6434,6101,33.303807
6434,6229,39.609085
6434,6274,0.949086
6434,6287,37.32344
6434,6341,78.752029
6434,6343,39.736158
6434,6373,38.291565
6434,6379,73.959075
6434,6388,57.415312
6434,6389,67.445446
6434,6411,19.099369
6434,6418,43.97357
6434,6436,61.64218
6434,6437,63.077537
6434,6452,76.819207
6434,6454,57.921461
6434,6480,20.65703
6434,6492,39.276509
