source_id,target_id,rtt
6452,6072,
6287,6072,
6437,6072,
6229,6072,71.991798
6388,6072,13.54601
6436,6072,6.8844
6549,6072,7.045712
6274,6072,69.027146
6411,6072,70.501037
6373,6072,40.699213
6101,6072,63.132328
6434,6072,82.079291
6341,6072,6.117467
6492,6072,70.397966
6389,6072,28.811478
6480,6072,60.094235
6092,6072,5.328005
6418,6072,31.485851
6454,6072,17.899128
6379,6072,13.566023
6565,6072,26.53477
6588,6072,5.5935
6557,6072,26.976344
6782,6072,
6644,6072,6.866711
6685,6072,73.011307
6769,6072,5.312794
6692,6072,56.778624
6797,6072,6.12661
6835,6072,42.244599
7014,6072,7.233801
6925,6072,40.377932
6781,6072,16.122349
7052,6072,71.377917
6875,6072,13.047951
7058,6072,20.828856
6831,6072,74.245355
6899,6072,
6597,6072,21.725956
6634,6072,36.425747
7095,6072,8.232403
7157,6072,78.153218
7224,6072,
7158,6072,9.219952
7087,6072,40.34469
7267,6072,
7264,6072,
7199,6072,38.932841
7256,6072,31.992182
7253,6072,64.016746
6287,6092,
6229,6092,64.99261
6452,6092,
6437,6092,
6411,6092,68.557663
6379,6092,25.384439
6101,6092,62.572233
6389,6092,41.514845
6341,6092,2.06367
6072,6092,5.309888
6418,6092,25.202626
6388,6092,13.28726
6274,6092,66.011308
6373,6092,35.230395
6436,6092,23.694895
6454,6092,16.708118
6480,6092,61.830289
6549,6092,
6492,6092,69.714908
6434,6092,60.862484
6565,6092,25.343318
6557,6092,16.880574
6782,6092,
6588,6092,1.372432
6899,6092,
6781,6092,28.388079
6835,6092,40.741712
6597,6092,21.795131
6692,6092,52.521573
6634,6092,30.348796
6831,6092,76.097937
6797,6092,1.550046
6925,6092,37.456243
6685,6092,67.559616
6875,6092,13.908701
7014,6092,2.8851
7052,6092,63.605117
7058,6092,21.136067
7087,6092,31.976237
7095,6092,22.109672
7157,6092,80.971533
7224,6092,
7264,6092,
7158,6092,4.841615
7199,6092,34.136967
7256,6092,35.396467
6287,6101,
6341,6101,54.611707
6229,6101,12.998513
6072,6101,63.136134
6092,6101,62.568342
6373,6101,33.203318
6379,6101,48.855392
6389,6101,56.143502
6437,6101,
6434,6101,38.880629
6418,6101,80.104993
6388,6101,69.800035
6452,6101,
7267,6092,
6454,6101,43.216601
6480,6101,17.749924
6436,6101,56.81229
6411,6101,39.800967
6557,6101,56.129848
6549,6101,62.821631
6492,6101,19.290824
6588,6101,55.249936
