id,city,country,latitude,longitude,fqdn,ipv6,measurement_id
6878,Minsk,Belarus,53.8915,27.4605,by-msq-as56740.anchors.atlas.ripe.net,2001:67c:2268::18,27717246
6402,Sofia,Bulgaria,42.6685,23.3975,bg-sof-as31287.anchors.atlas.ripe.net,2a01:9e40:1:d::4,16519125
6845,Silistra,Bulgaria,44.1195,27.2595,bg-sls-as198228.anchors.atlas.ripe.net,2a00:1728:d::1,26788762
6544,Prague,Czechia,50.0595,14.4795,cz-prg-as39392.anchors.atlas.ripe.net,2a01:28:cb:1::1338,21317862
6788,Brno,Czechia,49.2115,16.6015,cz-brq-as2852-client.anchors.atlas.ripe.net,2001:718:801:23a::6b,25225861
7175,Szeged,Hungary,46.2595,20.1505,hu-sze-as210579-client.anchors.atlas.ripe.net,2a13:46c1:200:1::8000,49708799
6323,Katowice,Poland,50.2485,18.9985,pl-ktw-as206186.anchors.atlas.ripe.net,2001:678:3b0:a001::bcf1:1c25,10509914
6669,Warsaw,Poland,52.2315,21.0005,pl-wrs-as199524.anchors.atlas.ripe.net,2a03:90c0:d5::3d,23414632
6800,Ozarów Mazowiecki,Poland,52.2075,20.8075,pl-ozm-as16276.anchors.atlas.ripe.net,2001:41d0:601:2000::491,25562103
6956,Szczecin,Poland,53.5005,14.5895,pl-szz-as28785.anchors.atlas.ripe.net,2a03:7580:1:217::2:8785,29389858
7064,Poland,Poland,52.9895,18.6705,pl-tor-as50599.anchors.atlas.ripe.net,2a0b:5484:0:2f::2,36389756
6510,Chisinau,Republic of Moldova,47.0175,28.8375,md-kiv-as43289.anchors.atlas.ripe.net,2a00:1dc0:caff:113::2,19874433
6417,Bucharest,Romania,44.4205,26.0975,ro-buh-as48112.anchors.atlas.ripe.net,2a0b:2f00:0:234::151,17427926
6453,Iasi,Romania,47.1585,27.5895,ro-ias-as60149.anchors.atlas.ripe.net,2001:67c:10:1102::11,18397010
6475,Timisoara,Romania,45.7695,21.2305,ro-tsr-as60149.anchors.atlas.ripe.net,2001:678:928:1102::11,20677964
7236,Drobeta-Turnu Severin,Romania,44.6405,22.6585,ro-dts-as44024.anchors.atlas.ripe.net,2a10:2f01:330:1:1::a1,55630528
6335,Moscow,Russian Federation,55.7595,37.6185,ru-mow-as47764.anchors.atlas.ripe.net,2a00:114f:1::1,11105170
6538,Novosibirsk,Russian Federation,55.0315,82.9385,ru-ovb-as49673.anchors.atlas.ripe.net,2a02:47a0:a::19,20920349
6623,Saint-Petersburg,Russian Federation,59.8785,30.4285,ru-led-as44050.anchors.atlas.ripe.net,2a00:1d78:1::11,23055784
6624,Chita,Russian Federation,52.0295,113.4985,ru-cta-as58067.anchors.atlas.ripe.net,2a0b:97c0:0:110::2,23059819
6936,Khabarovsk,Russian Federation,48.4705,135.0585,ru-khv-as57695.anchors.atlas.ripe.net,2a0b:4342:4000:141:5054:ff:fe0e:b302,29117520
7066,Yaroslavl,Russian Federation,57.6405,39.8805,ru-iar-as49558.anchors.atlas.ripe.net,2a0d:8540::29,38212872
6414,Mykolayiv,Ukraine,46.9795,31.9875,ua-nlv-as41018.anchors.atlas.ripe.net,2001:67c:25dc:2::128:18,17332737
6829,Dnepropetrovsk,Ukraine,48.4715,35.0585,ua-dnk-as3326.anchors.atlas.ripe.net,2a01:758:ffe8:3::1,26382916
6844,Kyiv,Ukraine,50.4495,30.4495,ua-iev-as3326.anchors.atlas.ripe.net,2a01:758:fff4:4::2,26736067
6852,Kremenchuk,Ukraine,49.0685,33.4095,ua-kre-as41009.anchors.atlas.ripe.net,2001:67c:1bcc::149,26976424
7123,Lugansk,Ukraine,48.5685,39.3085,ua-vsg-as41709.anchors.atlas.ripe.net,2a03:a9c0:f000:0:ff00::1000,43169716
6225,Aalborg,Denmark,57.0195,9.8985,dk-aal-as9158.anchors.atlas.ripe.net,2001:1580:0:180c::2,6721697
6340,Ballerup,Denmark,55.7275,12.3795,dk-blp-as62113.anchors.atlas.ripe.net,2a00:fbe0:0:111::2,11518644
6426,Copenhagen,Denmark,55.7305,12.3785,dk-cph-as59795.anchors.atlas.ripe.net,2a09:3a00:3a00::1338,17661147
6448,Skanderborg,Denmark,56.0715,9.9795,dk-skg-as48854.anchors.atlas.ripe.net,2a02:2339:4001:1::1,18392162
6545,Kolding,Denmark,55.5095,9.5095,dk-kol-as39642.anchors.atlas.ripe.net,2a03:7400:2205:1::d5,21317890
6714,Tastrup,Denmark,55.6595,12.2975,dk-taa-as51468.anchors.atlas.ripe.net,2a02:2350:1:1204::1,23788674
6952,Højbjerg,Denmark,56.1085,10.1595,dk-hjb-as3292.anchors.atlas.ripe.net,2001:67c:2ae0:3da:c225:e9ff:fe9a:90,29338215
6722,Tallinn,Estonia,59.4285,24.6785,ee-tll-as51349.anchors.atlas.ripe.net,2a00:c3a0:26:3::140,23857337
6248,Helsinki,Finland,60.2015,24.9295,fi-hel-as6667.anchors.atlas.ripe.net,2001:670:2:120::2,7382331
6251,Tampere,Finland,61.4875,23.7595,fi-tmp-as719.anchors.atlas.ripe.net,2001:998:13:1b2::2,7714921
