id,latitude,longitude,city,state,country
6072,39.9585,-75.6095,West Chester,Pennsylvania,United States
6092,39.0385,-77.4885,Ashburn,Virginia,United States
6093,32.9885,-96.9285,Carrollton,Texas,United States
6231,42.3475,-71.1115,Brookline,Massachusetts,United States
6287,48.5805,-96.5185,Karlstad,Minnesota,United States
6373,39.0985,-94.5795,Kansas City,Missouri,United States
6379,35.9315,-78.8795,Durham,North Carolina,United States
6388,40.4315,-80.0385,Pittsburgh,Pennsylvania,United States
6389,42.4515,-83.2585,Southfield,Michigan,United States
6407,47.6205,-122.3625,Seattle,Washington,United States
6408,33.4215,-112.0125,Phoenix,Arizona,United States
6409,32.8415,-96.8825,Dallas,Texas,United States
6411,37.2375,-121.7825,San Jose,California,United States
6418,39.9615,-86.1525,Carmel,Indiana,United States
6428,37.7015,-77.4415,Poindexters,Virginia,United States
6434,47.6095,-122.3415,Seattle,Washington,United States
6436,40.5605,-74.4815,Piscataway,New Jersey,United States
6437,32.7905,-96.7915,Dallas,Texas,United States
6452,25.7985,-80.2305,Miami,Florida,United States
6454,33.7795,-84.4205,Atlanta,Georgia,United States
6479,39.0115,-77.4595,Ashburn,Virginia,United States
6480,37.4675,-121.9185,Fremont,California,United States
6482,37.4685,-121.9185,Fremont,California,United States
6492,34.0485,-118.2585,Los Angeles,California,United States
6517,39.0205,-77.4625,Ashburn,Virginia,United States
6524,39.0195,-77.4615,Ashburn,Virginia,United States
6525,37.4295,-122.1715,Stanford,California,United States
6557,42.8905,-78.8805,Buffalo,New York,United States
6565,40.4595,-87.6595,Hoopeston,Illinois,United States
6572,33.7485,-84.3895,Atlanta,Georgia,United States
6574,40.7795,-74.0695,Secaucus,New Jersey,United States
6585,39.0195,-77.4585,Ashburn,Virginia,United States
6588,38.9215,-77.2085,Tysons,Virginia,United States
6590,25.7775,-80.1885,Miami,Florida,United States
6597,41.9905,-87.9585,Elk Grove Village,Illinois,United States
6598,34.0615,-118.2385,Los Angeles,California,United States
6599,37.3315,-121.8885,San Jose,California,United States
6629,41.8515,-87.6215,Chicago,Illinois,United States
6634,44.9695,-93.2515,Minneapolis,Minnesota,United States
6643,25.7785,-80.1905,Miami,Florida,United States
6644,40.7795,-74.0805,Secaucus,New Jersey,United States
6649,34.0515,-118.2605,Los Angeles,California,United States
6685,37.5495,-121.9885,Fremont,California,United States
6692,32.7885,-96.7885,Dallas,Texas,United States
6725,40.7395,-74.0115,New York,New York,United States
6769,38.9515,-77.3595,Reston,Virginia,United States
6770,38.9975,-77.4795,Moorefield Station,Virginia,United States
6781,43.0375,-76.1485,Syracuse,New York,United States
6782,37.3985,-122.0085,Sunnyvale,California,United States
6783,40.7185,-74.0085,New York,New York,United States
6794,47.4895,-122.2885,Tukwila,Washington,United States
6797,38.7505,-77.6685,New Baltimore,Virginia,United States
6804,38.9595,-77.3825,Herndon,Virginia,United States
6811,34.0475,-118.2625,Los Angeles,California,United States
6822,32.7985,-96.8215,Dallas,Texas,United States
6831,34.1675,-118.0915,Pasadena,California,United States
6832,37.4685,-121.9215,Fremont,California,United States
6833,37.4685,-121.9215,Fremont,California,United States
6835,39.6195,-104.8915,Greenwood Village,Colorado,United States
