source_id,target_id,rtt
6092,6072,22.266921
6373,6072,44.150476
6287,6072,
6341,6072,6.222357
6379,6072,12.359284
6274,6072,65.524754
6388,6072,22.772575
6229,6072,71.991807
6480,6072,60.106945
6389,6072,25.321042
6436,6072,6.989322
6437,6072,
6525,6072,63.960964
6452,6072,
6454,6072,28.812536
6411,6072,70.419707
6492,6072,90.088164
6434,6072,80.5142
6101,6072,70.829822
6549,6072,7.091773
6588,6072,5.68298
6565,6072,
6557,6072,29.737663
6644,6072,19.125421
6597,6072,18.277534
6782,6072,
6769,6072,20.454022
6685,6072,72.73958
6781,6072,16.154542
6899,6072,
6875,6072,13.063756
6831,6072,74.458916
6797,6072,6.155259
6925,6072,39.979108
6835,6072,40.599891
6692,6072,60.276654
6634,6072,27.437803
6957,6072,
7014,6072,29.486131
7087,6072,43.398908
7157,6072,76.853105
7052,6072,70.566334
7058,6072,25.514298
7199,6072,62.365147
7095,6072,20.408092
7224,6072,
7267,6072,
7256,6072,36.872301
7264,6072,
7229,6072,78.882786
6072,6092,22.282137
7158,6072,24.865886
6101,6092,62.620393
6229,6092,67.992263
6287,6092,
6274,6092,67.459728
6341,6092,2.017044
6373,6092,35.290223
6379,6092,6.511283
6411,6092,68.520811
6418,6092,25.33461
6434,6092,68.859765
6436,6092,23.531962
6388,6092,24.058976
6454,6092,16.807668
6549,6092,
6452,6092,
6437,6092,
6492,6092,71.248847
6525,6092,67.155597
6480,6092,62.040796
6557,6092,15.423482
6565,6092,
6597,6092,21.823585
6588,6092,1.424298
6389,6092,46.429488
6634,6092,30.348916
6644,6092,5.432993
6769,6092,0.834443
6685,6092,70.493821
6692,6092,52.595714
6797,6092,1.634997
6782,6092,
6781,6092,28.055806
6835,6092,40.856047
6899,6092,
6831,6092,76.22214
7014,6092,11.435741
6957,6092,
6925,6092,37.494468
7052,6092,67.192534
6875,6092,13.225343
7058,6092,21.160718
7087,6092,35.549608
7095,6092,22.133142
7157,6092,80.199737
7158,6092,4.885755
7199,6092,34.243062
7224,6092,
7256,6092,35.509777
7229,6092,76.35316
7267,6092,
7264,6092,
6341,6101,54.674589
6274,6101,39.497353
6229,6101,12.99852
6072,6101,70.86361
6287,6101,
6092,6101,62.619126
6388,6101,69.875686
6379,6101,48.95296
6373,6101,33.245
6389,6101,56.15339
6411,6101,41.9983
6434,6101,39.070775
6418,6101,80.071926
6436,6101,56.84643
6454,6101,43.297643
6480,6101,17.925917
6452,6101,
6492,6101,19.389164
6557,6101,56.191694
6685,6101,17.446892
6597,6101,42.437871
6588,6101,55.238698
6644,6101,58.584323
6634,6101,57.947195
6549,6101,58.624068
6565,6101,
6692,6101,59.761545
6769,6101,66.042579
6781,6101,59.51449
6782,6101,
6797,6101,68.063857
6899,6101,
6835,6101,22.361217
6831,6101,30.517248
6875,6101,67.226036
6925,6101,33.055973
7014,6101,59.088061
7052,6101,26.258641
7087,6101,39.83191
7058,6101,71.18645
7095,6101,58.894038
7158,6101,56.303583
7157,6101,26.56251
7199,6101,46.00653
7224,6101,
7229,6101,37.001758
7264,6101,
7267,6101,
6072,6229,72.14396
6092,6229,68.722614
6274,6229,25.831031
6341,6229,64.044112
6287,6229,
6373,6229,47.183179
6101,6229,13.383915
6379,6229,71.211969
6388,6229,67.694806
6389,6229,69.109057
6411,6229,12.768259
6418,6229,84.2834
6434,6229,37.140501
6437,6229,
6436,6229,71.531519
6452,6229,
6454,6229,55.997029
6480,6229,14.414517
6492,6229,20.955087
6597,6229,52.489532
6549,6229,
6525,6229,11.452615
6565,6229,
6634,6229,58.288901
6588,6229,62.767126
6644,6229,70.747961
6685,6229,14.22307
6692,6229,65.975847
6769,6229,76.419789
6782,6229,
6781,6229,84.313544
6875,6229,78.329253
6899,6229,
6835,6229,33.88699
6797,6229,74.799979
6831,6229,24.268947
6957,6229,
6925,6229,48.530234
7014,6229,69.428011
7052,6229,17.286866
7058,6229,85.282465
7087,6229,45.211813
7095,6229,66.081168
7157,6229,21.460089
7199,6229,73.564123
7264,6229,
7224,6229,
7256,6229,69.019705
7229,6229,35.967595
7267,6229,
6072,6274,65.566142
7158,6229,70.133205
6092,6274,67.461909
6101,6274,39.545644
6287,6274,
6341,6274,66.209538
6373,6274,37.667448
6379,6274,71.883839
6229,6274,24.997155
6411,6274,18.592364
6388,6274,67.9864
6418,6274,71.737871
6389,6274,54.802007
6434,6274,1.059697
6436,6274,59.204697
6437,6274,
6452,6274,
6454,6274,55.427255
6480,6274,18.430485
6492,6274,36.56106
6525,6274,18.794061
6549,6274,
6557,6274,52.126072
6565,6274,
6634,6274,50.303105
6588,6274,66.72998
6597,6274,42.74879
6644,6274,62.050557
6685,6274,21.048288
6692,6274,67.840505
6769,6274,73.27624
6781,6274,69.329528
6797,6274,68.383941
6782,6274,
6831,6274,30.072635
6899,6274,
6835,6274,27.403881
6875,6274,69.756363
7014,6274,67.749997
6957,6274,
6925,6274,57.633391
7052,6274,20.454827
7058,6274,65.508694
7095,6274,69.47671
7087,6274,47.547141
7157,6274,25.460385
7199,6274,83.284415
7158,6274,71.963472
7224,6274,
7267,6274,
7264,6274,
7256,6274,58.739241
7229,6274,3.996101
6072,6287,41.120324
6092,6287,42.839306
6229,6287,66.992376
6101,6287,53.906458
6274,6287,37.668185
6341,6287,45.285371
