id,city,country,latitude,longitude
0,Sydney,Australia,-33.86785,151.20732
1,Brisbane,Australia,-27.46794,153.02809
2,Canberra,Australia,-35.28346,149.12807
4,Townsville,Australia,-19.25,146.8
5,Cairns,Australia,-16.91667,145.76667
7,Rockhampton,Australia,-23.38333,150.5
8,Armidale,Australia,-30.51667,151.65
9,Hobart,Australia,-42.87936,147.32941
11,Perth,Australia,-31.93333,115.83333
13,Adelaide,Australia,-34.93333,138.6
15,Melbourne,Australia,-37.814,144.96332
17,Alice Springs,Australia,-23.7,133.88333
18,Darwin,Australia,-12.46113,130.84185
