id,city,country,latitude,longitude
0,New York,United States,40.71427,-74.00597
1,Chicago,United States,41.85003,-87.65005
2,Washington DC,United States,38.89511,-77.03637
3,Seattle,United States,47.60621,-122.33207
4,Sunnyvale,United States,37.36883,-122.03635
5,Los Angeles,United States,34.05223,-118.24368
6,Denver,United States,39.73915,-104.9847
7,Kansas City,United States,39.11417,-94.62746
8,Houston,United States,29.76328,-95.36327
9,Atlanta,United States,33.749,-84.38798
10,Indianapolis,United States,39.76838,-86.15804
