id,city,country,latitude,longitude
0,Los Angeles,United States,34.05223,-118.24368
1,Chennai,India,13.08784,80.27847
2,NYIX,,0.0,0.0
3,LAIX,,0.0,0.0
4,NiXI,,0.0,0.0
5,LINX,,0.0,0.0
6,EQUINOX IX,,0.0,0.0
7,New York,United States,40.71427,-74.00597
8,London,United Kingdom,51.50853,-0.12574
9,Mumbai,India,19.01441,72.84794
10,Palermo,Italy,38.11582,13.35976
11,Marseille,France,43.3,5.4
12,HKIX,,0.0,0.0
13,Hong Kong,Hong Kong,22.28552,114.15769
14,Singapore,Singapore,1.28967,103.85007
15,STIX,,0.0,0.0
