id,city,country,latitude,longitude
0,Hartford,United States,41.76371,-72.68509
1,New York,United States,40.71427,-74.00597
2,Chicago,United States,41.85003,-87.65005
3,Cleveland,United States,41.4995,-81.69541
4,Greensboro,United States,36.07264,-79.79198
5,Atlanta,United States,33.749,-84.38798
6,"Washington, DC",United States,38.89511,-77.03637
7,Reston,United States,38.96872,-77.3411
8,Dallas,United States,32.78306,-96.80667
9,St Louis,United States,38.62727,-90.19789
10,Seattle,United States,47.60621,-122.33207
11,Denver,United States,39.73915,-104.9847
12,San Francisco,United States,37.77493,-122.41942
13,San Jose,United States,37.33939,-121.89496
14,Los Angeles,United States,34.05223,-118.24368
15,Albuquerque,United States,35.08449,-106.65114
16,Hawaii,United States,21.30694,-157.85833
17,Houston,United States,29.76328,-95.36327
