id,city,country,latitude,longitude
0,Trbovlje,Slovenia,46.155,15.05333
1,Krsko,Slovenia,45.95915,15.49167
2,Celje,Slovenia,46.23092,15.26044
3,Lasko,Slovenia,46.15463,15.23555
4,Kranj,Slovenia,46.23887,14.35561
5,Bled,Slovenia,46.36917,14.11361
6,Novo Mesto,Slovenia,45.80397,15.16886
7,Ljubljana,Slovenia,46.05108,14.50513
8,Tolmin,Slovenia,46.18304,13.73321
9,Nova Gorica,Slovenia,45.95604,13.64837
10,Portoroz,Slovenia,45.51429,13.59206
11,Gornja Radgona,Slovenia,46.67333,15.99222
12,Radenci,Slovenia,46.64201,16.03781
13,Rogasja Slatina,Slovenia,46.2375,15.63972
14,Senozece,Slovenia,45.72111,14.04111
15,Jesenice,Slovenia,46.43056,14.06694
16,Sezana,Slovenia,45.70924,13.87333
17,Divaca,Slovenia,45.68472,13.97028
18,Postojna,Slovenia,45.77694,14.21667
19,Ajdovscina,Slovenia,45.88601,13.90946
20,Kovevje,Slovenia,45.64333,14.86333
21,Kamnik,Slovenia,46.22587,14.61207
22,Izola,Slovenia,45.53694,13.66194
23,Koper,Slovenia,45.54694,13.72944
24,Slovenj Gradec,Slovenia,46.51028,15.08056
25,Velenje,Slovenia,46.35917,15.11028
26,Murska Sobota,Slovenia,46.6625,16.16639
27,Ljutomer,Slovenia,46.52083,16.1975
28,Ormoz,Slovenia,46.41139,16.15444
29,Ptuj,Slovenia,46.42005,15.87018
30,Maribor,Slovenia,46.55472,15.64667
31,Slovenska Bistrica,Slovenia,46.39278,15.57444
32,Dravograd,Slovenia,46.58806,15.01917
33,Ravne na Koroskem,Slovenia,46.54306,14.96917
