id,city,country,latitude,longitude
0,CASE,United States,41.5045,-81.59707
1,ILLINOIS,United States,39.80172,-89.64371
2,HARVARD,United States,42.37843,-71.11644
3,CARNEGIE,United States,40.44118,-79.94283
4,MITRE,United States,41.63622,-70.9342
5,AMES,United States,37.38605,-122.08385
6,BURROUGHS,United States,42.3751,-71.10561
7,BBN,United States,42.3751,-71.10561
8,MIT,United States,42.35954,-71.09172
10,SRI,United States,37.45383,-122.18219
11,UCSB,United States,34.42083,-119.69819
12,UCLA,United States,34.05223,-118.24368
13,Stanford,United States,37.44188,-122.14302
14,RAND,United States,34.01945,-118.49119
15,SDC,United States,34.01945,-118.49119
16,UTAH,United States,40.76078,-111.89105
17,Lincoln,United States,42.44732,-71.2245
