id,city,country,latitude,longitude
0,ILLINOIS,United States,39.80172,-89.64371
1,MITRE,United States,41.63622,-70.9342
2,CARNEGIE,United States,40.44118,-79.94283
3,CASE,United States,41.5045,-81.59707
4,ETAC,United States,38.89511,-77.03637
5,AFGWC,United States,38.5427,-89.85035
15,BBN,United States,42.3751,-71.10561
7,NBS,United States,39.14344,-77.20137
8,Tinker,United States,35.41474,-97.38663
13,AMES,United States,37.38605,-122.08385
10,RADC,United States,43.21285,-75.45573
11,McClellan,United States,38.68574,-121.37217
12,RAND,United States,34.01945,-118.49119
14,SDC,United States,34.01945,-118.49119
16,HARVARD,United States,42.37843,-71.11644
17,SRI,United States,37.45383,-122.18219
18,UCSB,United States,34.42083,-119.69819
19,UCLA,United States,34.05223,-118.24368
20,Stanford,United States,37.44188,-122.14302
21,USC,United States,34.05223,-118.24368
22,UTAH,United States,40.76078,-111.89105
23,Lincoln,United States,42.44732,-71.2245
24,MIT,United States,42.35954,-71.09172
