id,city,country,latitude,longitude
0,Paris,France,48.85341,2.3488
1,Atlanta,United States,33.749,-84.38798
2,Brussels,Belgium,50.85045,4.34878
3,Frankfurt,Germany,50.11667,8.68333
4,Phoenix,United States,33.44838,-112.07404
5,Las vegas,United States,36.17497,-115.13722
6,Miami,United States,25.77427,-80.19366
7,Dallas,United States,32.78306,-96.80667
8,Los Angeles,United States,34.05223,-118.24368
9,Houston,United States,29.76328,-95.36327
10,Philadelphia,United States,39.95234,-75.16379
11,Boston,United States,42.35843,-71.05977
12,London,United Kingdom,51.50853,-0.12574
13,Amsterdam,Netherlands,52.37403,4.88969
14,San Jose,United States,37.33939,-121.89496
15,San Francisco,United States,37.77493,-122.41942
16,Seattle,United States,47.60621,-122.33207
17,Chicago,United States,41.85003,-87.65005
18,Toronto,United States,40.46423,-80.60091
19,Ashburn,United States,39.04372,-77.48749
20,New Jersey,United States,40.72816,-74.07764
21,New York,United States,40.71427,-74.00597
