id,city,country,latitude,longitude
0,Jackson,United States,32.29876,-90.18481
1,Atlanta,United States,33.749,-84.38798
2,Austin,United States,30.26715,-97.74306
3,Houston,United States,29.76328,-95.36327
4,Detroit,United States,42.33143,-83.04575
5,Columbus,United States,39.96118,-82.99879
6,Cincinnati,United States,39.162,-84.45689
7,Cleveland,United States,41.4995,-81.69541
8,Chicago,United States,41.85003,-87.65005
9,Minneapolis,United States,44.97997,-93.26384
10,Philadelphia,United States,39.95234,-75.16379
11,New York,United States,40.71427,-74.00597
12,Cambridge,United States,42.3751,-71.10561
13,Boston,United States,42.35843,-71.05977
14,Richmond,United States,37.55376,-77.46026
15,"Washington, DC",United States,38.89511,-77.03637
16,Baltimore,United States,39.29038,-76.61219
17,Denver,United States,39.73915,-104.9847
18,Dallas,United States,32.78306,-96.80667
19,Sacramento,United States,38.58157,-121.4944
20,Oakland,United States,37.80437,-122.2708
21,San Francisco,United States,37.77493,-122.41942
22,Palo Alto,United States,37.44188,-122.14302
23,San Jose,United States,37.33939,-121.89496
24,Los Angeles,United States,34.05223,-118.24368
25,San Diego,United States,32.71533,-117.15726
26,Orange,United States,33.78779,-117.85311
