id,city,country,latitude,longitude
0,Cold Lake,Canada,54.45018,-110.2017
1,Grande Prairie,Canada,55.16667,-118.80271
2,Edmonton,Canada,53.55014,-113.46871
3,Fort McMurray,Canada,56.7335,-111.38519
4,Kamloops,Canada,50.66648,-120.3192
5,Vernon,United States,40.9126,-73.83708
6,Dawson Creek,Canada,55.7666,-120.23616
7,Prince George,Canada,53.9166,-122.75301
8,Kelowna,Canada,49.88307,-119.48568
9,Penticton?,Canada,49.48062,-119.58584
10,Sept -Iles,Canada,50.20011,-66.38208
11,Charlottetown,Canada,46.23525,-63.12671
12,New York,United States,40.71427,-74.00597
13,Ottawa,Canada,45.41117,-75.69812
14,Montreal,Canada,45.50884,-73.58781
15,Sherbrooke,Canada,45.40008,-71.89908
16,Quebec City,Canada,46.81228,-71.21454
17,Chicoutimi,Canada,48.42749,-71.06352
18,Rimouski,Canada,48.44879,-68.52396
19,Baie-Comeau,Canada,49.21679,-68.14894
20,Saint John,Canada,45.27271,-66.06766
21,Moncton,Canada,46.11594,-64.80186
22,Halifax,Canada,44.646,-63.57333
23,Fredericton,Canada,45.94541,-66.66558
24,St John's,Canada,47.56494,-52.70931
25,Onslow,Canada,45.36685,-63.28198
26,Lethbridge,Canada,49.69999,-112.81856
27,Calgary,Canada,51.05011,-114.08529
28,Buffalo,United States,42.88645,-78.87837
29,Toronto,Canada,43.70011,-79.4163
30,Victoria,Canada,48.43294,-123.3693
31,Seattle,United States,47.60621,-122.33207
32,Courtenay,Canada,49.68657,-124.9936
33,Vancouver,Canada,49.24966,-123.11934
34,Chicago,United States,41.85003,-87.65005
35,Los Angeles,United States,34.05223,-118.24368
36,Palo Alto,United States,37.44188,-122.14302
37,San Francisco,United States,37.77493,-122.41942
38,Medicine Hat,Canada,50.05006,-110.66834
39,Red Deer,Canada,52.26682,-113.802
40,Washington,United States,38.89511,-77.03637
41,Atlanta,United States,33.749,-84.38798
42,Dallas,United States,32.78306,-96.80667
43,Sudbury,Canada,46.49,-80.99001
44,Thunder Bay,Canada,48.4001,-89.31683
45,Winnipeg,Canada,49.8844,-97.14704
46,Saskatoon,Canada,52.11679,-106.63452
47,Regina,Canada,50.45008,-104.6178
