id,city,country,latitude,longitude
0,Cocoa Beach,United States,28.32001,-80.60755
1,Daytona Beach,United States,29.21081,-81.02283
2,West Palm Beach,United States,26.71534,-80.05337
3,Stuart,United States,27.19755,-80.25283
4,Jacksonville,United States,30.33218,-81.65565
5,Savannah,United States,32.08354,-81.09983
6,Panama City,United States,30.15881,-85.66021
7,Gainesville,United States,29.65163,-82.32483
8,Albany,United States,31.57851,-84.15574
9,Macon,United States,32.84069,-83.6324
10,Stone Mt?,United States,33.80816,-84.1702
11,Nashville,United States,36.16589,-86.78444
12,Knoxville,United States,35.96064,-83.92074
13,New Orleans?,United States,29.95465,-90.07507
14,Lafayette,United States,30.22409,-92.01984
15,Baton Rouge,United States,30.45075,-91.15455
16,Shreveport,United States,32.52515,-93.75018
17,Jackson,United States,32.29876,-90.18481
18,Memphis,United States,35.14953,-90.04898
19,Owensboro,United States,37.77422,-87.11333
20,Louisville,United States,38.25424,-85.75941
21,Georgetown,United States,38.2098,-84.55883
22,?,,0.0,0.0
23,Greensboro,United States,36.07264,-79.79198
24,Arden,United States,35.46623,-82.51651
25,Charlotte,United States,35.22709,-80.84313
26,Winston,United States,36.09986,-80.24422
27,Columbia,United States,34.00071,-81.03481
28,Augusta,United States,33.47097,-81.97484
29,Florence,United States,34.19543,-79.76256
30,Charleston,United States,32.77657,-79.93092
31,New Orleans,United States,29.95465,-90.07507
32,Slidell,United States,30.27519,-89.78117
33,Huntsville,United States,34.73037,-86.5861
34,Chatanooga,United States,35.04563,-85.30968
35,Atlanta,United States,33.749,-84.38798
36,Athens,United States,33.96095,-83.37794
37,Biloxi,United States,30.39603,-88.88531
38,Pensacola,United States,30.42131,-87.21691
39,Montgomery,United States,32.36681,-86.29997
40,Birmingham,United States,33.52066,-86.80249
41,Ft Lauderdale,United States,26.12231,-80.14338
42,Boca Raton,United States,26.35869,-80.0831
43,Mobile,United States,30.69436,-88.04305
44,Greenville,United States,34.85262,-82.39401
45,Spartanburg,United States,34.94957,-81.93205
47,Wilmington,United States,34.22573,-77.94471
48,Orlando,United States,28.53834,-81.37924
49,Miami,United States,25.77427,-80.19366
50,Miami?,United States,25.77427,-80.19366
