id,city,country,latitude,longitude
0,Geel,Belgium,51.16667,5.0
1,Antwerpen,Belgium,51.21667,4.41667
2,Leuven,Belgium,50.87959,4.70093
3,Hasselt,Belgium,50.93333,5.33333
4,Brussel II B,Belgium,50.85045,4.34878
5,SFINX,,0.0,0.0
6,Brussel I B,Belgium,50.85045,4.34878
7,Brussel II A,Belgium,50.85045,4.34878
8,AMS-IX,,0.0,0.0
9,LINX,,0.0,0.0
10,The Worldwide Internet,,0.0,0.0
11,BNIX,,0.0,0.0
12,Geant,,0.0,0.0
13,Liege,Belgium,50.64119,5.57178
14,Brussel I A,Belgium,50.85045,4.34878
15,Brugge,Belgium,51.20892,3.22424
16,Gent,Belgium,51.05,3.71667
17,Korthijk,Belgium,50.82803,3.26487
18,Mons,Belgium,50.45413,3.95229
19,Charleroi,Belgium,50.41667,4.43333
20,Louvain-la-Neuve,Belgium,50.66829,4.61443
21,Namur,Belgium,50.46992,4.82577
22,Arlon,Belgium,49.68333,5.81667
