id,city,country,latitude,longitude
0,Liege,,0.0,0.0
1,Brussels Campus,Belgium,50.85045,4.34878
2,Arlon,Belgium,49.68333,5.81667
4,Vilvoorde,Belgium,50.91823,4.40731
5,Leuven,Belgium,50.87959,4.70093
6,Bruzav,,0.0,0.0
7,Evere,Belgium,50.86667,4.4
9,Hasselt,Belgium,50.93333,5.33333
10,Brudie,,0.0,0.0
11,Geel,Belgium,51.16667,5.0
12,Louvain-la-Neuve,Belgium,50.66829,4.61443
13,Namur,Belgium,50.46992,4.82577
14,Brugge,Belgium,51.20892,3.22424
15,Gent,Belgium,51.05,3.71667
17,Antwerpen,Belgium,51.21667,4.41667
19,Korthijk,Belgium,50.82803,3.26487
20,Mons,Belgium,50.45413,3.95229
21,Charleroi,Belgium,50.41667,4.43333
