id,city,country,latitude,longitude
0,Boston,United States,42.35843,-71.05977
1,Detroit,United States,42.33143,-83.04575
2,Philadelphia,United States,39.95234,-75.16379
3,New York,United States,40.71427,-74.00597
4,Sacramento,United States,38.58157,-121.4944
12,San Jose,,0.0,0.0
10,Seattle,,0.0,0.0
7,Portland,United States,45.52345,-122.67621
8,Sunnyvale,United States,37.36883,-122.03635
11,Los Angeles,,0.0,0.0
13,BtN London POP,,0.0,0.0
14,SIX,,0.0,0.0
15,MAE East,,0.0,0.0
16,MAE Central,,0.0,0.0
17,PAIX,,0.0,0.0
20,MAE West,,0.0,0.0
21,BtN Frankfurt POP,,0.0,0.0
23,AShburn,,0.0,0.0
24,Miami,,0.0,0.0
25,Pittsburgh,United States,40.44062,-79.99589
27,BtN Hong Kong POP,,0.0,0.0
29,Atlanta,,0.0,0.0
30,Chicago,,0.0,0.0
32,Dallas,,0.0,0.0
33,NY-IIX,,0.0,0.0
34,Ameritech AADS,,0.0,0.0
36,San Antonio,United States,29.42412,-98.49363
37,Phoenix,United States,33.44838,-112.07404
38,San Diego,United States,32.71533,-117.15726
39,Tampa,United States,27.94752,-82.45843
41,New Orleans,United States,29.95465,-90.07507
42,Houston,United States,29.76328,-95.36327
43,Washington,United States,38.89511,-77.03637
44,Baltimore,United States,39.29038,-76.61219
45,Denver,United States,39.73915,-104.9847
46,Minneapolis,United States,44.97997,-93.26384
48,Kansas City,United States,39.11417,-94.62746
50,Raleigh,United States,35.7721,-78.63861
51,Ashburn,United States,39.04372,-77.48749
52,Vienna,United States,38.90122,-77.26526
