id,city,country,latitude,longitude
0,Cilacap,Indonesia,-7.72639,109.00944
1,Purwokerto,Indonesia,-7.42139,109.23444
2,Sukabumi,Indonesia,-6.91806,106.92667
3,Tasikmalaya,Indonesia,-7.33333,108.2
4,Pekalongan,Indonesia,-6.8886,109.6753
5,Semarang,Indonesia,-6.9932,110.4203
6,Magelang,Indonesia,-7.47056,110.21778
7,Yogyakarta,Indonesia,-7.78278,110.36083
8,Kudus,Indonesia,-6.8048,110.8405
9,Surakarta,Indonesia,-7.55611,110.83167
10,Nusa Dua,Indonesia,-9.59806,123.77028
11,Surabaya,Indonesia,-7.24917,112.75083
12,Kediri,Indonesia,-7.81667,112.01667
13,Madium,Indonesia,-7.6298,111.5239
14,Tuban,Indonesia,-6.9,112.05
15,Banyunwangi,Indonesia,-8.2215,114.3646
16,Jember,Indonesia,-8.16604,113.70317
17,Probolinggo,Indonesia,-7.7543,113.2159
18,Malang,Indonesia,-7.9797,112.6304
19,Bakauhuni,,0.0,0.0
20,Cibaliung,Indonesia,-6.76667,105.85
21,Tegal,Indonesia,-6.8694,109.1402
22,Cirebon,Indonesia,-6.7063,108.557
23,Bandung,Indonesia,-6.90389,107.61861
24,Karawang,Indonesia,-6.30333,107.30556
25,Jakarta,Indonesia,-6.21462,106.84513
26,Bogor,Indonesia,-6.59444,106.78917
27,Serang,Indonesia,-6.1149,106.1502
28,Anyer,Indonesia,-6.06667,105.88333
