id,city,country,latitude,longitude
0,Jakarta,Indonesia,-6.21462,106.84513
1,Perth,Australia,-31.93333,115.83333
2,Singapore,Singapore,1.28967,103.85007
3,Kuala Lumpur,Malaysia,3.1412,101.68653
4,San Jose,,0.0,0.0
5,Los Angeles,,0.0,0.0
6,Sydney,Australia,-33.86785,151.20732
7,Auckland,New Zealand,-36.86667,174.76667
8,London,,0.0,0.0
9,Palo Alto,,0.0,0.0
10,New Delhi,India,28.63576,77.22445
11,Mumbai,India,19.01441,72.84794
12,Seoul,South Korea,37.56826,126.97783
13,Tokyo,Japan,35.61488,139.5813
14,Taipei,Taiwan,25.04776,121.53185
15,Hong Kong,Hong Kong,22.28552,114.15769
16,Manila,Philippines,14.6042,120.9822
17,Bangkok,Thailand,13.75,100.51667
18,Chenai,India,13.08784,80.27847
