id,city,country,latitude,longitude
0,Budapest,Hungary,47.49801,19.03991
1,Munich,Germany,48.13743,11.57549
2,Prague,Czech Republic,50.08804,14.42076
3,Vienna,Austria,48.20849,16.37208
4,Dusseldorf,Germany,51.22172,6.77616
5,Frankfurt,Germany,50.11667,8.68333
6,Zurich,Switzerland,47.36667,8.55
7,Paris,France,48.85341,2.3488
8,Milan,Italy,45.46427,9.18951
9,Barcelona,Spain,41.38879,2.15899
10,Goonhilly,United Kingdom,50.05,-5.2
11,New York,,0.0,0.0
12,Washington,,0.0,0.0
13,Madrid,Spain,40.4165,-3.70256
14,Helsinki,Finland,60.16952,24.93545
15,Copenhagen,Denmark,55.67594,12.56553
16,London,United Kingdom,51.50853,-0.12574
18,Madley,United Kingdom,52.03333,-2.85
19,Dublin,Ireland,53.34399,-6.26719
20,Brussels,Belgium,50.85045,4.34878
21,Amsterdam,Netherlands,52.37403,4.88969
22,Gothenburg,Sweden,57.70716,11.96679
23,Stockholm,Sweden,59.33258,18.0649
