id,city,country,latitude,longitude
0,Montevideo,Uruguay,-34.83346,-56.16735
1,Rosario,Argentina,-32.95111,-60.66639
2,Curitba,Brazil,-25.42778,-49.27306
3,Port Alegre,Brazil,-30.03306,-51.23
4,?,,0.0,0.0
5,La Paz,Bolivia,-16.5,-68.15
6,Santiago,Chile,-33.42628,-70.56656
7,Santa Cruz,Bolivia,-17.8,-63.16667
8,Lima,Peru,-12.04318,-77.02824
9,Cuenca,Ecuador,-2.88333,-78.98333
11,Durango,Mexico,24.03333,-104.66667
12,Guadajajara,Mexico,20.66667,-103.33333
13,Costa Rica,Costa Rica,10.0,-84.0
14,Nicaragua,Nicaragua,12.13282,-86.2504
15,El Salvador,El Salvador,13.83333,-88.91667
16,Guatemala,Guatemala,14.64072,-90.51327
17,Mexico City,Mexico,19.42847,-99.12766
21,Guayaquil,Ecuador,-2.16667,-79.9
22,Mendoza,Argentina,-32.88333,-68.81667
23,Miami,,0.0,0.0
24,Monterey,Mexico,26.23333,-98.91667
29,Sao Paulo,Brazil,-23.5475,-46.63611
30,Caracas,Venezuela,10.5,-66.91667
31,Honduras,Honduras,14.0818,-87.20681
32,Jamaica,Jamaica,17.99702,-76.79358
34,Cali,Colombia,3.43722,-76.5225
35,Bogota,Colombia,4.60971,-74.08175
36,Quito,Ecuador,-0.22985,-78.52495
37,Puerto Rico,Puerto Rico,18.46633,-66.10572
38,Trinidad and Tobago,Trinidad and Tobago,10.66617,-61.51657
41,Rio De Janeiro,Brazil,-22.90278,-43.2075
42,Londrina,Brazil,-23.31028,-51.16278
43,Sucre,Bolivia,-19.03332,-65.26274
44,Tarija,Bolivia,-21.53549,-64.72956
45,Cordoba,Argentina,-31.4,-64.18333
46,Buenos Aires,Argentina,-34.61315,-58.37723
47,New York,,0.0,0.0
48,Fort Lauderdale,,0.0,0.0
49,Brasilia,Brazil,-15.77972,-47.92972
50,Belo Horizonte,Brazil,-19.92083,-43.93778
