source_id,target_id
0,1
0,2
1,2
1,6
1,8
1,22
1,28
1,29
1,31
2,26
2,19
2,21
2,27
2,28
26,27
26,35
4,5
4,8
4,15
5,15
6,7
7,15
7,17
7,21
7,30
8,9
8,21
8,25
8,28
9,25
9,28
10,11
10,12
10,13
10,14
10,17
10,25
10,27
11,12
11,13
11,16
11,17
13,16
13,22
13,23
13,24
13,25
13,27
13,28
14,16
15,28
15,29
16,17
16,23
17,22
17,27
17,28
18,20
18,25
18,27
19,20
20,21
22,23
22,27
22,33
23,24
23,25
24,25
25,28
27,33
27,35
30,31
32,33
32,34
34,35
