id,city,country,latitude,longitude
0,Cheyenne,United States,41.13998,-104.82025
1,Salt Lake,United States,40.76078,-111.89105
2,Denver,United States,39.73915,-104.9847
3,?,,0.0,0.0
4,Portland,United States,45.52345,-122.67621
5,Eugene,United States,44.05207,-123.08675
6,Spokane,United States,47.65878,-117.42605
7,Seattle,United States,47.60621,-122.33207
8,Burbank,United States,34.18084,-118.30897
9,Los Angeles,United States,34.05223,-118.24368
10,Newark,United States,40.73566,-74.17237
11,New York,United States,40.71427,-74.00597
12,Boston,United States,42.35843,-71.05977
13,Eckington,United States,38.91261,-77.00914
14,Europe,,0.0,0.0
15,Tukwita,United States,47.47399,-122.26096
16,Washington,United States,38.89511,-77.03637
17,Chicago,United States,41.85003,-87.65005
18,Dallas,United States,32.78306,-96.80667
19,Albuquerque,United States,35.08449,-106.65114
20,Tucson,United States,32.22174,-110.92648
21,Phoenix,United States,33.44838,-112.07404
22,Cermak,United States,41.85003,-87.65005
23,Atlanta,United States,33.749,-84.38798
24,Tampa,United States,27.94752,-82.45843
25,Houston,United States,29.76328,-95.36327
27,Kansas,United States,39.11417,-94.62746
28,Sunnyvale,United States,37.36883,-122.03635
29,Boise,United States,43.6135,-116.20345
30,Helena,United States,46.59271,-112.03611
31,Billings,United States,45.78329,-108.50069
32,Fargo,United States,46.87719,-96.7898
33,Minneapolis,United States,44.97997,-93.26384
34,Sioux City,United States,42.49999,-96.40031
35,Omaha,United States,41.25861,-95.93779
