id,city,country,latitude,longitude
0,Thunder Bay,Canada,48.4001,-89.31683
1,Chicago,United States,41.85003,-87.65005
2,Regina,Canada,50.45008,-104.6178
3,Winnipeg,Canada,49.8844,-97.14704
4,Ottawa,Canada,45.41117,-75.69812
5,Montreal,Canada,45.50884,-73.58781
6,Windsor/Detroit,United States,42.33143,-83.04575
7,Toronto,Canada,43.70011,-79.4163
8,Fredericton,Canada,45.94541,-66.66558
9,Charlottetown,Canada,46.23525,-63.12671
10,Asie-Pacifique,,0.0,0.0
11,Boston,United States,42.35843,-71.05977
12,Asia-Pacific,,0.0,0.0
13,Amerique du Nord et Amerique du Sud,,0.0,0.0
14,Europe,,0.0,0.0
15,New York,United States,40.71427,-74.00597
16,St John's,Canada,47.56494,-52.70931
17,Halifax,Canada,44.646,-63.57333
18,North and South America,,0.0,0.0
19,Europe and other countries,,0.0,0.0
20,Europe et autres pays,,0.0,0.0
22,Calgary,Canada,51.05011,-114.08529
23,Saskatoon,Canada,52.11679,-106.63452
24,Whitehorse,Canada,60.71611,-135.05375
25,Yellowknife,Canada,62.456,-114.35255
26,Edmonton,Canada,53.55014,-113.46871
27,Kamloops,Canada,50.66648,-120.3192
28,Kelowna,Canada,49.88307,-119.48568
29,Vancouver,Canada,49.24966,-123.11934
30,Victoria,Canada,48.43294,-123.3693
31,Seattle,United States,47.60621,-122.33207
