id,city,country,latitude,longitude
0,Stara Gradnifska,Croatia,45.14861,17.24667
1,Kutina,Croatia,45.475,16.78194
2,Slavonski,Croatia,45.16028,18.01556
3,Pozega,Croatia,45.34028,17.68528
4,Gorica,Croatia,45.7125,16.07556
5,Karlovac,Croatia,45.48722,15.54778
6,Sisak,Croatia,45.46611,16.37833
7,Petrinja,Croatia,45.4375,16.29
8,Jastrebarsko,Croatia,45.66833,15.64861
29,GEANT,,0.0,0.0
10,Hvar,Croatia,43.1725,16.44278
11,Dubrovnik,Croatia,42.64807,18.09216
12,Rovinj,Croatia,45.08,13.64
13,Visnjan,Croatia,45.27639,13.72083
14,Opatija,Croatia,45.33917,14.30833
15,Porec,Croatia,45.22583,13.59389
16,Buje,Croatia,45.41,13.66194
17,Zadar,Croatia,44.11972,15.24222
18,Zenumik D,Croatia,44.10667,15.38056
19,Knin,Croatia,44.04389,16.2
20,Trogic,Croatia,43.5125,16.25167
21,Pucisca,Croatia,43.34778,16.73389
22,Solin,Croatia,43.55,16.5
23,Sibenik,Croatia,43.72722,15.90583
24,Pula,Croatia,44.86833,13.84806
25,M. Losinj,Croatia,44.53056,14.46861
26,Rijeka,Croatia,45.34306,14.40917
27,Split,Croatia,43.50891,16.43915
28,Cakovec,Croatia,46.38444,16.43389
30,Gospic,Croatia,44.54611,15.37472
31,Otocac,Croatia,44.86944,15.2375
32,Vinkovci,Croatia,45.28833,18.80472
33,BIHarnet,,0.0,0.0
34,Vukovar,Croatia,45.34333,18.99972
35,Dakovo,Croatia,45.30833,18.41056
36,Zagreb,Croatia,45.81444,15.97798
37,Zabresic,Croatia,45.85639,15.80778
38,Samobor,Croatia,45.80306,15.71806
39,Varazdin,Croatia,46.30444,16.33778
40,Krizevci,Croatia,46.02194,16.5425
41,Bjelovar,Croatia,45.89861,16.84889
42,Virovitica,Croatia,45.83194,17.38389
43,Osijek,Croatia,45.55111,18.69389
