id,city,country,latitude,longitude
0,Gullin,China,25.28194,110.28639
1,Kunming,China,25.03889,102.71833
2,Chongqing,China,29.56278,106.55278
3,Guiyang,China,26.58333,106.71667
4,Haikou,China,20.04583,110.34167
5,Xianggang,China,23.38861,112.82111
6,Nanning,China,22.81667,108.31667
7,Guangzhou,China,23.11667,113.25
8,Shenzhen,China,22.54554,114.0683
9,Xiemen,China,24.47979,118.08187
10,Japan,,0.0,0.0
11,Europe,,0.0,0.0
12,Shijiazhuang,China,38.04139,114.47861
13,Tianjing,China,39.14222,117.17667
14,Dalian,China,38.91222,121.60222
15,Shenyang,China,41.79222,123.43278
16,Harbin,China,45.75,126.65
17,Chanchun,China,43.88,125.32278
18,N.A,,0.0,0.0
19,Korea,,0.0,0.0
20,Hefei,China,31.86389,117.28083
21,Beijing,China,39.9075,116.39723
23,Nanchang,China,28.68333,115.88333
24,Wuhan,China,30.58333,114.26667
25,Changsha,China,28.2,112.96667
26,Fuzhou,China,26.06139,119.30611
27,Qingdao,China,36.09861,120.37194
28,Nanjing,China,32.06167,118.77778
29,Shanghai,China,31.22222,121.45806
30,Hangzhou,China,30.25528,120.16889
31,Zhengzhou,China,34.75778,113.64861
32,Chengdou,China,25.71056,116.97865
33,Urumchi,China,43.8,87.58333
34,Lasa,China,29.65,91.1
35,Xining,China,36.61667,101.76667
36,Lanzhou,China,36.05639,103.79222
37,Xi'an,China,34.25833,108.92861
38,Yinchuan,China,38.46806,106.27306
39,Hohhot,China,40.81056,111.65222
40,Taiyuan,China,37.86944,112.56028
