id,city,country,latitude,longitude
0,Olomouc,Czech Republic,49.59552,17.25175
1,Brno,Czech Republic,49.19522,16.60796
2,Pardubice,Czech Republic,50.04075,15.77659
3,Hradec Kralove,Czech Republic,50.20923,15.83277
4,"Breclav,Lednice",Czech Republic,48.75897,16.88203
5,Ostrava,Czech Republic,49.83465,18.28204
6,Vyskov,Czech Republic,49.27747,16.99897
7,Zlin,Czech Republic,49.21667,17.66667
8,Karvina,Czech Republic,49.84452,18.49166
9,Opava,Czech Republic,49.93866,17.90257
10,Kostelec n C.L,Czech Republic,49.99403,14.85922
11,Tabor,Czech Republic,49.41441,14.6578
12,TEN-,,0.0,0.0
13,USA,,0.0,0.0
14,Jindrichuv Hradec,Czech Republic,49.14404,15.00301
15,Cheb,Czech Republic,50.07963,12.37392
16,Plzen,Czech Republic,49.74747,13.37759
17,Decin,Czech Republic,50.78215,14.21478
18,Usti nad Labem,Czech Republic,50.6607,14.03227
19,Praha,Czech Republic,50.08804,14.42076
20,Liberec,Czech Republic,50.76711,15.05619
21,Ceske Budejovice,Czech Republic,48.97447,14.47434
22,NIX,,0.0,0.0
