id,city,country,latitude,longitude
0,Lhasa,China,29.65,91.1
1,Lanzhou,China,36.05639,103.79222
2,Kashi,China,39.45472,75.97972
3,Shiquanhe,China,32.51667,80.06667
4,Jinan,China,36.66833,116.99722
5,Qingdao,China,36.09861,120.37194
6,Taiyuan,China,37.86944,112.56028
7,Shilazhuang,China,38.04139,114.47861
8,Shanghai,China,31.22222,121.45806
9,Suzhou,China,31.31139,120.61806
10,International Link,,0.0,0.0
12,Nanning,China,22.81667,108.31667
13,Changsha,China,28.2,112.96667
14,Guiyang,China,26.58333,106.71667
15,Chongqing,China,29.56278,106.55278
16,Chengdu,China,30.66667,104.06667
17,Kunming,China,25.03889,102.71833
18,Xi'an,China,34.25833,108.92861
19,Zhengzhou,China,34.75778,113.64861
22,Haikou,China,20.04583,110.34167
23,Hong Kong,China,30.13062,100.51803
24,Hangzhou,China,30.25528,120.16889
25,Wuhan,China,30.58333,114.26667
26,Hefei,China,31.86389,117.28083
27,Nanjing,China,32.06167,118.77778
28,Guangzhou,China,23.11667,113.25
29,Xiamen,China,24.47979,118.08187
30,Fuzhou,China,26.06139,119.30611
31,Nandhang,China,28.68333,115.88333
32,Xining,China,36.61667,101.76667
33,Urumqi,China,43.8,87.58333
34,Harbin,China,45.75,126.65
35,Changchun,China,43.88,125.32278
36,Shenyang,China,41.79222,123.43278
37,Dalian,China,38.91222,121.60222
38,Tianjin,China,39.14222,117.17667
39,Beijing,China,39.9075,116.39723
40,Hohhot,China,40.81056,111.65222
41,Yinchuan,China,38.46806,106.27306
