id,city,country,latitude,longitude
0,,,0.0,0.0
2,"Washington, DC",United States,38.89511,-77.03637
4,Boston,United States,42.35843,-71.05977
5,New York,United States,40.71427,-74.00597
6,Seattle,United States,47.60621,-122.33207
7,San Francisco,United States,37.77493,-122.41942
8,Los Angeles,United States,34.05223,-118.24368
9,Dallas,United States,32.78306,-96.80667
10,Houston,United States,29.76328,-95.36327
11,Atlanta,United States,33.749,-84.38798
12,Columbus,United States,39.96118,-82.99879
13,Chicago,United States,41.85003,-87.65005
