id,city,country,latitude,longitude
0,Phoenix,United States,33.44838,-112.07404
1,Albuquerque,United States,35.08449,-106.65114
2,Anaheim,United States,33.83529,-117.9145
3,San Diego,United States,32.71533,-117.15726
4,San Antonio,United States,29.42412,-98.49363
5,Houston,United States,29.76328,-95.36327
6,Dallas,United States,32.78306,-96.80667
7,Austin,United States,30.26715,-97.74306
8,Atlanta,United States,33.749,-84.38798
9,Raleigh,United States,35.7721,-78.63861
10,Kansas City,United States,39.11417,-94.62746
11,Denver,United States,39.73915,-104.9847
12,Tampa,United States,27.94752,-82.45843
13,St Louis,United States,38.62727,-90.19789
14,Pittsburgh,United States,40.44062,-79.99589
15,New York,United States,40.71427,-74.00597
16,Philadelphia,United States,39.95234,-75.16379
17,Baltimore,United States,39.29038,-76.61219
18,"Washington, DC",United States,38.89511,-77.03637
19,Chicago,United States,41.85003,-87.65005
20,Detroit,United States,42.33143,-83.04575
21,Cleveland,United States,41.4995,-81.69541
22,Boston,United States,42.35843,-71.05977
23,San Jose,United States,37.33939,-121.89496
24,Los Angeles,United States,34.05223,-118.24368
25,Seattle,United States,47.60621,-122.33207
26,Portland,United States,45.52345,-122.67621
27,Santa Rosa,United States,38.44047,-122.71443
28,Sacramento,United States,38.58157,-121.4944
29,Stockton,United States,37.9577,-121.29078
30,Concord,United States,43.20814,-71.53757
31,San Rafael,United States,37.97353,-122.53109
32,San Francisco,United States,37.77493,-122.41942
