id,city,country,latitude,longitude
0,Philadelphia,United States,39.95234,-75.16379
1,Pittsburgh,United States,40.44062,-79.99589
2,Richmond,United States,37.55376,-77.46026
3,Baltimore,United States,39.29038,-76.61219
4,Boston,United States,42.35843,-71.05977
5,Dallas,United States,32.78306,-96.80667
6,New York,United States,40.71427,-74.00597
7,Hartford,United States,41.76371,-72.68509
8,Houston,United States,29.76328,-95.36327
9,Atlanta,United States,33.749,-84.38798
10,Hong Kong,,0.0,0.0
11,Barbados,,0.0,0.0
12,Vienna,,0.0,0.0
13,London,,0.0,0.0
14,Sydney,,0.0,0.0
15,Paris,,0.0,0.0
17,Bahrain,,0.0,0.0
18,Fort Lauderdale,United States,26.12231,-80.14338
19,Orlando,United States,28.53834,-81.37924
20,Jacksonville,United States,30.33218,-81.65565
21,Raleigh,United States,35.7721,-78.63861
23,Frankfurt,,0.0,0.0
24,Tampa,United States,27.94752,-82.45843
25,Miami,United States,25.77427,-80.19366
26,Akron,United States,41.08144,-81.51901
29,Tokyo,,0.0,0.0
30,San Francisco,United States,37.77493,-122.41942
31,Los Angeles,United States,34.05223,-118.24368
32,Denver,United States,39.73915,-104.9847
33,Kansas City,United States,39.11417,-94.62746
34,Chicago,United States,41.85003,-87.65005
35,Cleveland,United States,41.4995,-81.69541
