id,city,country,latitude,longitude
0,Tulsa,United States,36.15398,-95.99278
1,Kansas City,United States,39.11417,-94.62746
2,San Antonio,United States,29.42412,-98.49363
3,Dallas,United States,32.78306,-96.80667
4,Pensacola,United States,30.42131,-87.21691
5,Jacksonville,United States,30.33218,-81.65565
6,Houston,United States,29.76328,-95.36327
7,Baton Rouge,United States,30.45075,-91.15455
8,Atlanta,United States,33.749,-84.38798
9,Raleigh,United States,35.7721,-78.63861
10,New York,United States,40.71427,-74.00597
11,Syracuse,United States,43.04812,-76.14742
12,Cleveland,United States,41.4995,-81.69541
13,Chicago,United States,41.85003,-87.65005
14,Raton,United States,36.90336,-104.43915
15,Pittsburgh,United States,40.44062,-79.99589
16,Washington DC,United States,38.89511,-77.03637
17,Philadelphia,United States,39.95234,-75.16379
18,Los Angeles,United States,34.05223,-118.24368
19,El Paso/Las Cruces,United States,31.75872,-106.48693
20,Seattle,United States,47.60621,-122.33207
21,Portland,United States,45.52345,-122.67621
22,Sunny Vale,United States,37.36883,-122.03635
23,Boise,United States,43.6135,-116.20345
24,Salt Lake City,United States,40.76078,-111.89105
25,Denver,United States,39.73915,-104.9847
26,Albuquerque,United States,35.08449,-106.65114
27,Phoenix,United States,33.44838,-112.07404
