id,city,country,latitude,longitude
0,Zurich,Switzerland,47.36667,8.55
1,Geneva,Switzerland,46.20222,6.14569
2,Budapest,Hungary,47.49801,19.03991
3,Stuttgart,Germany,48.78232,9.17702
4,Madrid,Spain,40.4165,-3.70256
5,Lisbon,Portugal,38.71667,-9.13333
6,Milan,Italy,45.46427,9.18951
7,Barcelona,Spain,41.38879,2.15899
8,Paris,France,48.85341,2.3488
9,London,United Kingdom,51.50853,-0.12574
10,Tokyo,Japan,35.61488,139.5813
11,Chicago,United States,41.85003,-87.65005
12,Washington,United States,38.89511,-77.03637
13,Miami,United States,25.77427,-80.19366
14,Los Angeles,United States,34.05223,-118.24368
15,Palo Alto,United States,37.44188,-122.14302
16,San Jose,Costa Rica,9.93333,-84.08333
17,Hong Kong,Hong Kong,22.28552,114.15769
18,Singapore,Singapore,1.28967,103.85007
19,Toronto,Canada,43.70011,-79.4163
20,New York,United States,40.71427,-74.00597
21,Frankfurt,Germany,50.11667,8.68333
22,Cologne,Germany,50.93333,6.95
23,Hanover,Germany,52.37052,9.73322
24,Amsterdam,Netherlands,52.37403,4.88969
25,Ashburn,United States,39.04372,-77.48749
26,Hamburg,Germany,53.55,10.0
27,Dortmund,Germany,51.51667,7.45
28,Dusseldorf,Germany,51.22172,6.77616
29,Vienna,Austria,48.20849,16.37208
30,Munich,Germany,48.13743,11.57549
31,Copenhagen,Denmark,55.67594,12.56553
32,Stockholm,Sweden,59.33258,18.0649
33,Warsaw,Poland,52.22977,21.01178
34,Moscow,Russia,55.75222,37.61556
35,Berlin,Germany,52.52437,13.41053
36,Leipzig,Germany,51.33962,12.37129
37,Prague,Czech Republic,50.08804,14.42076
38,Nuremberg,Germany,49.44778,11.06833
