id,city,country,latitude,longitude
0,Chicago,United States,41.85003,-87.65005
1,Omaha,United States,41.25861,-95.93779
2,Columbus,United States,39.96118,-82.99879
3,Detroit,United States,42.33143,-83.04575
4,Atlanta,United States,33.749,-84.38798
5,Jacksonville,United States,30.33218,-81.65565
6,Kansas City,United States,39.11417,-94.62746
7,St Louis,United States,38.62727,-90.19789
8,Orlando,United States,28.53834,-81.37924
9,Tampa,United States,27.94752,-82.45843
10,Baltimore,United States,39.29038,-76.61219
11,Philadelphia,United States,39.95234,-75.16379
12,Trenton,United States,40.21705,-74.74294
13,Pittsburgh,United States,40.44062,-79.99589
14,Richmond,United States,37.55376,-77.46026
15,Charlotte,United States,35.22709,-80.84313
16,Miami,United States,25.77427,-80.19366
17,Newark,United States,40.73566,-74.17237
18,New York,United States,40.71427,-74.00597
19,"Washington, DC",United States,38.89511,-77.03637
20,Boston,United States,42.35843,-71.05977
21,Louisville,United States,38.25424,-85.75941
22,Cincinnati,United States,39.162,-84.45689
23,Hayward,United States,37.66882,-122.0808
24,Los Angeles,United States,34.05223,-118.24368
25,Dallas,United States,32.78306,-96.80667
26,Fort Worth,United States,32.72541,-97.32085
27,Austin,United States,30.26715,-97.74306
28,San Francisco,United States,37.77493,-122.41942
29,Houston,United States,29.76328,-95.36327
30,Nashville,United States,36.16589,-86.78444
