id,city,country,latitude,longitude
0,,,0.0,0.0
4,Mumbai,India,19.01441,72.84794
5,Hong Kong,Hong Kong,22.28552,114.15769
8,Shanghai,China,31.22222,121.45806
9,Paris,France,48.85341,2.3488
10,London,United Kingdom,51.50853,-0.12574
11,Los Angeles,United States,34.05223,-118.24368
12,San Jose?,Costa Rica,9.93333,-84.08333
13,Palo Alto?,United States,37.44188,-122.14302
14,New York,United States,40.71427,-74.00597
15,Washington,United States,38.89511,-77.03637
16,Madrid,Spain,40.4165,-3.70256
18,Milan,Italy,45.46427,9.18951
