id,city,country,latitude,longitude
0,Las Vegas,United States,36.17497,-115.13722
1,Los Angeles,United States,34.05223,-118.24368
2,Dallas,United States,32.78306,-96.80667
3,Phoenix,United States,33.44838,-112.07404
4,Santa Clara,United States,37.35411,-121.95524
5,Portland,United States,45.52345,-122.67621
6,Sacramento,United States,38.58157,-121.4944
7,Palo Alto,United States,37.44188,-122.14302
8,Tacoma,United States,47.25288,-122.44429
9,Seattle,United States,47.60621,-122.33207
10,Atlanta,United States,33.749,-84.38798
11,Houston,United States,29.76328,-95.36327
12,Spokane,United States,47.65878,-117.42605
13,Boise,United States,43.6135,-116.20345
14,Salt Lake City,United States,40.76078,-111.89105
15,Minneapolis,United States,44.97997,-93.26384
16,Chicago,United States,41.85003,-87.65005
17,Rochester,United States,43.15478,-77.61556
18,Newark,United States,40.73566,-74.17237
19,Washington DC,United States,38.89511,-77.03637
