id,city,country,latitude,longitude
0,Shumen,Bulgaria,43.27064,26.92286
1,Silistra,Bulgaria,44.11667,27.26667
2,Razgrad,Bulgaria,43.53333,26.51667
3,Turgovishte,Bulgaria,43.25917,26.58917
4,Yambol,Bulgaria,42.48333,26.5
5,Sliven,Bulgaria,42.68583,26.32917
6,Dobrich,Bulgaria,43.56667,27.83333
7,Burgas,Bulgaria,42.50606,27.46781
8,St Zagora,Bulgaria,42.43278,25.64194
9,Gabrovo,Bulgaria,42.87472,25.33417
10,Kurjiali,Bulgaria,41.65,25.36667
11,Varna,Bulgaria,43.21667,27.91667
12,Plovdiv,Bulgaria,42.15,24.75
13,Frankfurt,,0.0,0.0
14,Sofia,Bulgaria,42.69751,23.32415
15,Istanbul,,0.0,0.0
16,Kap Andreevo,Bulgaria,41.71667,26.31667
17,Haskovo,Bulgaria,41.94028,25.56944
18,Karlovo,Bulgaria,42.63333,24.8
19,Kiustendil,Bulgaria,42.28389,22.69111
20,Pennik,Bulgaria,42.6,23.03333
21,Sevlievo,Bulgaria,43.02583,25.11361
22,V Turnovo,Bulgaria,43.08124,25.62904
23,Pazardjik,Bulgaria,42.2,24.33333
24,Smolian,Bulgaria,41.58528,24.69194
25,Petrich,Bulgaria,41.4,23.21667
26,Blagoevgrad,Bulgaria,42.01667,23.1
27,Bucharest,,0.0,0.0
28,Ruse,Bulgaria,43.85639,25.97083
29,Amsterdam,,0.0,0.0
30,Vidin,Bulgaria,43.99,22.8725
31,Kozloduj,Bulgaria,43.78333,23.73333
32,Montana,Bulgaria,43.4125,23.225
33,Vraca,Bulgaria,43.21,23.5625
34,Pleven,Bulgaria,43.41667,24.61667
35,Lovech,Bulgaria,43.13333,24.71667
36,Skopie,,0.0,0.0
