id,city,country,latitude,longitude
0,Portalegre,Portugal,39.29379,-7.43122
1,Evora,Portugal,38.56667,-7.9
2,Guarda,Portugal,40.53333,-7.26667
3,Castelo Branco,Portugal,39.81667,-7.5
4,Tomar,Portugal,39.6,-8.41667
5,Leiria,Portugal,39.74362,-8.80705
6,Lisboa,Portugal,38.71667,-9.13333
7,Samtarem,Portugal,39.23333,-8.68333
8,Setubal,Portugal,38.5244,-8.8882
9,Ponta Delgada,Portugal,37.73333,-25.66667
10,Beja,Portugal,38.01667,-7.86667
11,Faro,Portugal,37.01667,-7.93333
12,Funchal,Portugal,32.63333,-16.9
13,Viseu,Portugal,40.65,-7.91667
14,Covilha,Portugal,40.28333,-7.5
15,Viana de Castelo,Portugal,41.84668,-8.41905
16,Barcelos,Portugal,41.53333,-8.61667
17,Braga,Portugal,41.55,-8.43333
18,Villa Real,Portugal,41.3,-7.75
19,Bragancia,Portugal,41.81667,-6.75
20,Porto,Portugal,41.15,-8.61667
21,Aveiro,Portugal,40.63333,-8.65
22,Coimbra,Portugal,40.2,-8.41667
