id,city,country,latitude,longitude
0,Komotini,Greece,41.12278,25.39639
1,Alexandroypoli,Greece,40.8475,25.87444
2,Xanthi,Greece,41.14139,24.88361
3,Kavala,Greece,40.93972,24.40194
4,Interconnection Greece,,0.0,0.0
5,Chios,Greece,38.36778,26.13583
6,Lesbos,Greece,39.31079,26.22025
7,Athens,Greece,37.97945,23.71622
8,Zakynthos,Greece,37.79139,20.89528
9,Pyrgos,Greece,40.15889,20.78472
10,Samos,Greece,37.75722,26.97694
11,Rhodes,Greece,36.44083,28.2225
12,Agrinio,Greece,38.62139,21.40778
13,Mesologgi,Greece,38.37019,21.42952
14,Prevezza,Greece,38.95,20.75
15,Arta,Greece,39.16056,20.98528
16,Lamia,Greece,38.9,22.43333
17,Inofita,Greece,38.31667,23.63333
18,Rethymnon,Greece,35.36472,24.47139
19,Moires,Greece,35.05,24.86667
20,Ag. Nikolaos,Greece,35.19139,25.71333
21,Ierapetra,Greece,35.01,25.73528
22,Siteia,Greece,35.2,26.09861
23,Corinth,Greece,37.94068,22.95734
24,Itea,Greece,39.46667,22.16667
25,Livadia,Greece,41.00167,22.28611
26,Kastoria,Greece,40.51667,21.26667
27,Larissa,Greece,39.63722,22.42028
28,Lefkada,Greece,38.8275,20.70194
29,Grevena,Greece,39.9225,21.80278
30,Igoumenitsa,Greece,39.50389,20.26556
31,Argostoli,Greece,38.18109,20.48903
32,Internet,,0.0,0.0
33,Patra,Greece,38.24444,21.73444
34,Sklathos,Greece,39.16227,23.49089
35,Chalkida,Greece,38.46361,23.59944
36,Karditsa,Greece,39.36556,21.92167
37,Volos,Greece,39.36667,22.94583
38,Karpenisi,Greece,38.91667,21.78333
39,Trikana,Greece,39.55528,21.7675
40,Corfu,Greece,39.62,19.91972
41,Ioaninna,Greece,39.6675,20.85083
42,Hersonlssos,Greece,35.30903,25.37112
43,Heraklion,Greece,35.32787,25.14341
44,Argos,Greece,37.63333,22.73333
45,Syros,Greece,37.45,24.93333
46,Mykonos,Greece,37.44529,25.32872
47,Santorini,Greece,36.38613,25.42959
48,Chania,Greece,35.51222,24.01556
49,Sparta,Greece,37.07333,22.42972
50,Kalamata,Greece,37.03889,22.11417
51,Tripoli,Greece,37.50889,22.37944
52,Polygyros,Greece,40.37444,23.43833
53,Drama,Greece,41.15444,24.13944
54,Serres,Greece,41.08556,23.54972
55,Thessaloniki,Greece,40.64028,22.94389
56,Kilkis,Greece,40.99194,22.87083
57,Edessa,Greece,40.80056,22.04722
58,Florina,Greece,40.78197,21.40981
59,Verola,Greece,40.52333,22.20361
60,Kozani,Greece,40.30111,21.78639
61,Katerina,Greece,40.27194,22.5025
