id,city,country,latitude,longitude
0,Kouvola,Finland,60.86667,26.7
1,Lahti,Finland,60.98267,25.66151
2,Mikkeli,Finland,61.68857,27.27227
3,Jyvaskyla,Finland,62.23333,25.73333
4,Seinajoki,Finland,62.8,22.83333
5,Pori,Finland,61.48333,21.78333
6,Tampere,Finland,61.49911,23.78712
7,Hameenlinna,Finland,60.99596,24.46434
8,Rauma,Finland,61.12724,21.51127
9,Turku,Finland,60.45148,22.26869
10,Kotka,Finland,60.46667,26.91667
11,Helsinki,Finland,60.16952,24.93545
12,Espoo,Finland,60.2052,24.6522
13,Salo,Finland,60.38333,23.13333
14,NORDU,,0.0,0.0
16,Joensuu,Finland,62.6,29.76667
17,Lappeenranta,Finland,61.05871,28.18871
18,Oulu,Finland,65.01236,25.46816
19,Haukipudas,Finland,65.17654,25.35233
20,Rovaniemi,Finland,66.5,25.71667
21,Sodankyla,Finland,67.41667,26.6
22,Ristijavi,Finland,64.5,28.21667
23,Kokkola,Finland,63.83847,23.13066
24,Vaasa,Finland,63.096,21.61577
25,Koupio,Finland,62.89238,27.67703
