id,city,country,latitude,longitude
0,MI,Italy,45.46427,9.18951
1,TO,Italy,45.07049,7.68682
2,TS,Italy,45.64861,13.78
3,PD,Italy,45.41519,11.88181
4,BO,Italy,44.49381,11.33875
6,GE,Italy,44.40632,8.93386
7,FI,Italy,43.76667,11.25
8,NA,Italy,40.83333,14.25
9,RM,Italy,41.89474,12.4839
10,CT,Italy,37.50213,15.08719
13,PA,Italy,38.11582,13.35976
14,PI,Italy,43.71553,10.39659
15,Ten,,0.0,0.0
16,USA,,0.0,0.0
17,CA,Italy,39.20738,9.13462
19,AQ,Italy,42.35055,13.39954
20,FRA,Italy,41.81632,12.66868
21,BA,Italy,41.11773,16.85118
