id,city,country,latitude,longitude
0,Svizzera,,0.0,0.0
1,CA,Italy,39.20738,9.13462
2,Global Crossing,,0.0,0.0
3,GEANT,,0.0,0.0
4,CA-,Italy,39.20738,9.13462
5,NAMEX,,0.0,0.0
6,AQ-,Italy,42.35055,13.39954
7,SS,Italy,40.72722,8.56028
48,RM-,Italy,41.89474,12.4839
9,PG,Italy,43.09674,12.38286
10,TIX,,0.0,0.0
11,Level,,0.0,0.0
12,MI-,Italy,45.46427,9.18951
13,CZ,Italy,38.89079,16.5987
14,TS-,Italy,45.64861,13.78
15,PD,Italy,45.41519,11.88181
16,NA,Italy,40.83333,14.25
17,ME,Italy,38.19327,15.54969
18,CS,Italy,39.30999,16.25019
19,CT,Italy,37.50213,15.08719
20,PA,Italy,38.11582,13.35976
21,EUMED CONNECT,,0.0,0.0
22,MIX,,0.0,0.0
23,TELIA,,0.0,0.0
24,BO,Italy,44.49381,11.33875
25,FI,Italy,43.76667,11.25
26,TN,Italy,46.06787,11.12108
27,VE,Italy,45.43861,12.32667
28,CO,Italy,45.46427,9.18951
30,TO,Italy,45.07049,7.68682
32,Fi,Italy,43.76667,11.25
33,GE,Italy,44.40632,8.93386
34,SA,Italy,40.67797,14.76599
35,PZ,Italy,40.64432,15.80857
36,CB,Italy,41.56003,14.66753
37,FRA,Italy,41.81632,12.66868
38,AQ,Italy,42.35055,13.39954
39,AN,Italy,43.59816,13.51008
40,MT,Italy,40.66852,16.60158
41,LE,Italy,40.35703,18.17202
42,BA,Italy,41.11773,16.85118
43,FG,Italy,41.46093,15.54925
44,Google,,0.0,0.0
47,TO-PIX,,0.0,0.0
49,Mi-,Italy,45.46427,9.18951
50,Fe,Italy,44.82678,11.62071
51,Pv,Italy,45.18446,9.16145
52,PI,Italy,43.71553,10.39659
53,Ur,Italy,43.72621,12.63633
