id,city,country,latitude,longitude
0,CZ,Czech Republic,50.08804,14.42076
1,CH,Switzerland,46.94809,7.44744
2,FR,France,48.85341,2.3488
3,DE,Germany,52.52437,13.41053
4,PT,Portugal,38.71667,-9.13333
5,SK,Slovakia,48.14816,17.10674
6,IT,Italy,41.89474,12.4839
7,ES,Spain,40.4165,-3.70256
8,HU,Hungary,47.49801,19.03991
9,AT,Austria,48.30639,14.28611
10,RO,Romania,44.43225,26.10626
11,BG,Bulgaria,42.69751,23.32415
12,HR,Croatia,45.23167,16.53917
13,SL,Slovenia,46.05108,14.50513
14,IL,Israel,31.5,34.75
15,CY,Cyprus,35.16667,33.36667
16,GR,Greece,38.24444,21.73444
17,BE,Belgium,50.85045,4.34878
18,LU,Luxembourg,49.61167,6.13
19,IE,Ireland,53.34399,-6.26719
20,UK,United Kingdom,51.50853,-0.12574
21,SE,Sweden,59.33258,18.0649
22,EE,Estonia,59.43696,24.75353
23,LV,Latvia,56.946,24.10589
24,LT,Belarus,53.76667,26.8
25,PL,Poland,52.41667,16.96667
26,NL,Netherlands,52.37403,4.88969
