id,city,country,latitude,longitude
0,Tampa,United States,27.94752,-82.45843
1,Oklahoma City,United States,35.46756,-97.51643
2,New Orleans,United States,29.95465,-90.07507
3,Jacksonville,United States,30.33218,-81.65565
4,Los Angeles,United States,34.05223,-118.24368
5,Phoenix,United States,33.44838,-112.07404
6,Tucson,United States,32.22174,-110.92648
7,Atlanta,United States,33.749,-84.38798
8,Birmingham,United States,33.52066,-86.80249
9,San Jose,United States,37.33939,-121.89496
10,Salt Lake City,United States,40.76078,-111.89105
11,Denver,United States,39.73915,-104.9847
12,Chicago,United States,41.85003,-87.65005
13,Hartford,United States,41.76371,-72.68509
14,New York,United States,40.71427,-74.00597
15,"Washington, DC",United States,38.89511,-77.03637
16,Chattanooga,United States,35.04563,-85.30968
