id,city,country,latitude,longitude
0,Cisco 3640 Samtredia,Georgia,42.1537,42.33517
1,Cisco 2621 Batumi,Georgia,41.64159,41.63593
2,Cisco 2511 Kutaisi,Georgia,42.24961,42.69974
3,Cisco 3640 Kutaisi C,Georgia,42.24961,42.69974
4,Cisco 3640 Poti,Georgia,42.14616,41.67197
5,Cisco 3640 Zugididi,Georgia,42.5088,41.87088
6,Cisco 3640 Khashuri,Georgia,41.99414,43.59994
7,Corecess DX,,0.0,0.0
8,Tbilisi GRENA Network,Georgia,41.69411,44.83368
10,Rustavi CO,Georgia,41.54949,44.99323
11,Cisco 3640 Telavi,Georgia,41.91978,45.47315
14,Cisco 3640 Gori,Georgia,41.98422,44.11578
