id,city,country,latitude,longitude
0,Karditsa,Greece,39.36556,21.92167
1,Volos,Greece,39.36667,22.94583
2,Larissa,Greece,39.63722,22.42028
3,Trikala,Greece,39.55528,21.7675
4,Mytilini,Greece,39.11,26.55472
5,Chios,Greece,38.36778,26.13583
6,Igoumenitsa,Greece,39.50389,20.26556
7,Kerkira,Greece,39.62,19.91972
8,Ermoupoli,Greece,37.44227,24.94248
9,Mykonos,Greece,37.44529,25.32872
10,Mesologgi,Greece,38.37019,21.42952
11,AMSIX,,0.0,0.0
12,GRIX,,0.0,0.0
13,GEANT,,0.0,0.0
14,Chania,Greece,35.51222,24.01556
15,Heraklio,Greece,35.32787,25.14341
16,Rethymno,Greece,35.36472,24.47139
17,Pylos,Greece,36.91344,21.69639
18,Kalamata,Greece,37.03889,22.11417
19,Halkida,Greece,38.46361,23.59944
20,Athens,Greece,37.97945,23.71622
21,Rhodos,Greece,36.44083,28.2225
22,Karlovassi,Greece,37.79028,26.70444
23,Tripoli,Greece,37.50889,22.37944
24,Patra,Greece,38.24444,21.73444
25,Kalavrita,Greece,38.03222,22.1125
26,Korinthos,Greece,37.91667,22.88333
27,Limnos,Greece,38.47333,25.91222
28,Ioannina,Greece,39.6675,20.85083
29,Serres,Greece,41.08556,23.54972
30,Thessaloniki,Greece,40.64028,22.94389
31,Edessa,Greece,40.80056,22.04722
32,Kastoria,Greece,40.51667,21.26667
33,Kavala,Greece,40.93972,24.40194
34,Xanthi,Greece,41.14139,24.88361
35,Komotini,Greece,41.12278,25.39639
36,Alexandroupoli,Greece,40.8475,25.87444
