id,city,country,latitude,longitude
0,Craiova,Romania,44.31667,23.8
1,Plaiesti,Romania,44.95,26.01667
2,Brasov,Romania,45.64861,25.60613
3,Targoviste,Romania,44.93333,25.45
4,Constanta,Romania,44.18333,28.65
5,Bucarest,Romania,44.43225,26.10626
6,Galati,Romania,45.45,28.05
7,Focsani,Romania,45.7,27.18333
8,Budapest,,0.0,0.0
10,Targu Mures,Romania,46.54245,24.55747
11,Timisoara,Romania,45.74944,21.22722
12,Sibiu,Romania,45.8,24.15
13,Iasi,Romania,47.16667,27.6
14,Piatra Neamt,Romania,46.91667,26.33333
15,Bacau,Romania,46.56667,26.9
16,Deva,Romania,45.88333,22.9
17,Cluj,Romania,46.76667,23.6
18,Oradea,Romania,47.06667,21.93333
19,Bors,Romania,47.11667,21.81667
20,Arad,Romania,46.18333,21.31667
