id,city,country,latitude,longitude
0,Rio De Janeiro,Brazil,-22.90278,-43.2075
1,Paris,France,48.85341,2.3488
2,Miami,United States,25.77427,-80.19366
3,Sao Paulo,Brazil,-23.5475,-46.63611
4,Amsterdam,Netherlands,52.37403,4.88969
5,Frankfurt,Germany,50.11667,8.68333
6,London,United Kingdom,51.50853,-0.12574
7,Brussels,Belgium,50.85045,4.34878
8,New York,United States,40.71427,-74.00597
9,Atlanta,United States,33.749,-84.38798
10,Seattle,United States,47.60621,-122.33207
11,San Jose/San Francisco,United States,37.33939,-121.89496
12,Los Angeles,United States,34.05223,-118.24368
13,Phoenix,United States,33.44838,-112.07404
14,Dallas,United States,32.78306,-96.80667
15,Chicago,United States,41.85003,-87.65005
16,Toronto,Canada,43.70011,-79.4163
17,Ashburn,United States,39.04372,-77.48749
