id,city,country,latitude,longitude
0,Seattle,United States,47.60621,-122.33207
1,Tampa,United States,27.94752,-82.45843
2,Chicago,United States,41.85003,-87.65005
3,Vancouver,Canada,49.24966,-123.11934
4,Miami,United States,25.77427,-80.19366
5,Austin,United States,30.26715,-97.74306
6,New York,United States,40.71427,-74.00597
7,Atlanta,United States,33.749,-84.38798
8,Bucharest,Romania,44.43225,26.10626
9,Seoul,South Korea,37.56826,126.97783
10,Sydney,Australia,-33.86785,151.20732
11,Hannover,Germany,52.37052,9.73322
12,Amsterdam,Netherlands,52.37403,4.88969
13,Antwerp,Belgium,51.21667,4.41667
14,Frankfurt,Germany,50.11667,8.68333
15,London,United Kingdom,51.50853,-0.12574
