id,city,country,latitude,longitude
0,Amsterdam,Netherlands,52.37403,4.88969
1,Frankfurt,Germany,50.11667,8.68333
2,London,United Kingdom,51.50853,-0.12574
3,Paris,France,48.85341,2.3488
4,Palo Alto,United States,37.44188,-122.14302
5,Fremont,United States,37.54827,-121.98857
6,Zurich,Switzerland,47.36667,8.55
7,Stockholm,Sweden,59.33258,18.0649
9,San Jose,Costa Rica,9.93333,-84.08333
10,New York,United States,40.71427,-74.00597
14,Atlanta,United States,33.749,-84.38798
15,Miami,United States,25.77427,-80.19366
16,Hong Kong,Hong Kong,22.28552,114.15769
17,Tokyo,Japan,35.61488,139.5813
18,Seattle,United States,47.60621,-122.33207
19,Los Angeles,United States,34.05223,-118.24368
20,Dallas,United States,32.78306,-96.80667
21,Chicago,United States,41.85003,-87.65005
22,Toronto,Canada,43.70011,-79.4163
23,Ashburn,United States,39.04372,-77.48749
