id,city,country,latitude,longitude
0,Montreal,United States,46.428,-90.24601
1,White Plains,United States,41.03399,-73.76291
2,Detroit,United States,42.33143,-83.04575
3,Toronto,United States,40.46423,-80.60091
4,Columbus,United States,39.96118,-82.99879
5,Bethesda,United States,38.98067,-77.10026
6,New York,United States,40.71427,-74.00597
7,Philadelphia,United States,39.95234,-75.16379
8,Schaumburg,United States,42.03336,-88.08341
9,St Louis,United States,38.62727,-90.19789
10,Vancouver,United States,45.63873,-122.66149
11,San Francisco,United States,37.77493,-122.41942
12,Los Angeles,United States,34.05223,-118.24368
13,Phoenix,United States,33.44838,-112.07404
14,Dallas,United States,32.78306,-96.80667
15,Atlanta,United States,33.749,-84.38798
16,Tampa,United States,27.94752,-82.45843
17,Chicago,United States,41.85003,-87.65005
