id,city,country,latitude,longitude
0,AKAMAI,,0.0,0.0
1,Velocix,,0.0,0.0
2,AARNET,,0.0,0.0
3,WADE,,0.0,0.0
4,Pipe,,0.0,0.0
7,Transact,,0.0,0.0
9,PIPE,,0.0,0.0
10,VOCUS,,0.0,0.0
11,TELSTRA,,0.0,0.0
12,REACH,,0.0,0.0
14,GOOGLE,,0.0,0.0
17,Equinix,,0.0,0.0
21,Hobart,Australia,-42.87936,147.32941
22,Google,,0.0,0.0
23,Darwin,Australia,-12.46113,130.84185
24,Adelaide,Australia,-34.93333,138.6
25,Perth,Australia,-31.93333,115.83333
26,Brisbane,Australia,-27.46794,153.02809
27,Sydney,Australia,-33.86785,151.20732
29,Canberra,Australia,-35.28346,149.12807
30,Melbourne,Australia,-37.814,144.96332
