id,city,country,latitude,longitude
0,Tel Aviv GigaPoP,Israel,32.06667,34.76667
1,Int'l backup,,0.0,0.0
2,IIX,,0.0,0.0
3,Petach Tikva GigaPoP,Israel,32.09174,34.88503
4,External Users,,0.0,0.0
5,GEANT 2 Germany,,0.0,0.0
6,Open University,Israel,32.18333,34.86667
7,Haifa University,Israel,32.81556,34.98917
8,Technion,Israel,32.81556,34.98917
9,Bar Ilan University,Israel,32.08056,34.81417
10,Hebrew University,Israel,31.77902,35.2253
11,Ben Gurion University,Israel,29.56111,34.95167
12,Weizmann Institute,Israel,31.89694,34.81861
13,Tel Aviv University,Israel,32.06667,34.76667
