id,city,country,latitude,longitude
0,Chicago,United States,41.85003,-87.65005
1,Dallas,United States,32.78306,-96.80667
2,St Cloud,United States,45.5608,-94.16249
3,Minneapolis/St Paul,United States,44.97997,-93.26384
4,Los Angeles,United States,34.05223,-118.24368
5,Santa Clara,United States,37.35411,-121.95524
6,Las Vegas,United States,36.17497,-115.13722
7,Phoenix,United States,33.44838,-112.07404
8,Sacramento,United States,38.58157,-121.4944
9,Santa Rose,United States,38.44047,-122.71443
10,Salem,United States,44.9429,-123.0351
11,Bend,United States,44.05817,-121.31531
12,Eugene,United States,44.05207,-123.08675
13,Reno,United States,39.52963,-119.8138
14,Rancho Cordova,United States,38.58907,-121.30273
15,New York,United States,40.71427,-74.00597
16,Ashburn,United States,39.04372,-77.48749
17,Spokane,United States,47.65878,-117.42605
18,Fargo?,United States,46.87719,-96.7898
19,Billings,United States,45.78329,-108.50069
20,Denver,United States,39.73915,-104.9847
21,Ogden,United States,41.223,-111.97383
22,Orem,United States,40.2969,-111.69465
23,Salt Lake City,United States,40.76078,-111.89105
24,Boise,United States,43.6135,-116.20345
25,Portland,United States,45.52345,-122.67621
26,Seattle,United States,47.60621,-122.33207
