id,city,country,latitude,longitude
0,mel,Australia,-37.814,144.96332
1,syd,Australia,-33.86785,151.20732
2,University of Adelaide,,0.0,0.0
4,bne,Australia,-27.46794,153.02809
5,hba,Australia,-42.87936,147.32941
14,Sprint,,0.0,0.0
15,Equinix,,0.0,0.0
10,cbr,Australia,-35.28346,149.12807
11,Optus,,0.0,0.0
12,Astraweb,,0.0,0.0
13,Google,,0.0,0.0
16,sin,Singapore,1.28967,103.85007
17,Starhub,,0.0,0.0
18,hkg,Hong Kong,22.28552,114.15769
19,sjc,United States,37.33939,-121.89496
20,nrt,Japan,35.61488,139.5813
21,akl,New Zealand,-36.86667,174.76667
23,PIPE Networks,,0.0,0.0
24,iad,United States,39.04372,-77.48749
25,lon,United Kingdom,51.50853,-0.12574
26,NTT,,0.0,0.0
27,Level,,0.0,0.0
28,PAIX,,0.0,0.0
29,Global Crossing,,0.0,0.0
31,LINX,,0.0,0.0
33,AMS IX,,0.0,0.0
35,Any,,0.0,0.0
40,HKIX,,0.0,0.0
44,JPIX,,0.0,0.0
45,lax,United States,34.05223,-118.24368
47,TransIX,,0.0,0.0
50,AARNet,,0.0,0.0
52,PacNet,,0.0,0.0
58,per,Australia,-31.93333,115.83333
60,adl,Australia,-34.93333,138.6
65,WAIX,,0.0,0.0
