id,city,country,latitude,longitude
0,Montreal,Canada,45.50884,-73.58781
1,Quebec,Canada,46.81228,-71.21454
2,London,Canada,42.98339,-81.23304
11,internetMCI T,,0.0,0.0
4,Moncton,Canada,46.11594,-64.80186
5,Halifax,Canada,44.646,-63.57333
6,Sherbrooke,Canada,45.40008,-71.89908
7,Saint John,Canada,45.27271,-66.06766
8,Sydney,Canada,46.1351,-60.1831
9,Yarmouth,Canada,43.83345,-66.11557
10,ANS CO+RE T,,0.0,0.0
12,Victoria,Canada,48.43294,-123.3693
13,Toronto,Canada,43.70011,-79.4163
14,Hamilton,Canada,43.23341,-79.94964
15,Vancouver,Canada,49.24966,-123.11934
17,Calgary,Canada,51.05011,-114.08529
18,Edmonton,Canada,53.55014,-113.46871
19,Lethbridge,Canada,49.69999,-112.81856
20,Winnipeg,Canada,49.8844,-97.14704
21,Ottawa,Canada,45.41117,-75.69812
22,Kitchener,Canada,43.4501,-80.48299
