source_id,target_id,rtt
0,0,0.0
0,1,inf
0,2,inf
0,3,inf
0,4,61.046763344344626
0,5,inf
0,6,inf
0,7,inf
0,8,inf
0,9,inf
0,10,inf
0,11,inf
1,0,inf
1,1,0.0
1,2,0.0
1,3,0.0
1,4,inf
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
2,0,inf
2,1,0.0
2,2,0.0
2,3,0.0
2,4,inf
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
3,0,inf
3,1,0.0
3,2,0.0
3,3,0.0
3,4,inf
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
4,0,61.046763344344626
4,1,inf
4,2,inf
4,3,inf
4,4,0.0
4,5,inf
4,6,inf
4,7,inf
4,8,inf
4,9,inf
4,10,inf
4,11,inf
5,0,inf
5,1,0.0
5,2,0.0
5,3,0.0
5,4,inf
5,5,0.0
5,6,0.0
5,7,0.0
5,8,0.0
5,9,0.0
5,10,0.0
5,11,0.0
6,0,inf
6,1,0.0
6,2,0.0
6,3,0.0
6,4,inf
6,5,0.0
6,6,0.0
6,7,0.0
6,8,0.0
6,9,0.0
6,10,0.0
6,11,0.0
7,0,inf
7,1,0.0
7,2,0.0
7,3,0.0
7,4,inf
7,5,0.0
7,6,0.0
7,7,0.0
7,8,0.0
7,9,0.0
7,10,0.0
7,11,0.0
8,0,inf
8,1,0.0
8,2,0.0
8,3,0.0
8,4,inf
8,5,0.0
8,6,0.0
8,7,0.0
8,8,0.0
8,9,0.0
8,10,0.0
8,11,0.0
9,0,inf
9,1,0.0
9,2,0.0
9,3,0.0
9,4,inf
9,5,0.0
9,6,0.0
9,7,0.0
9,8,0.0
9,9,0.0
9,10,0.0
9,11,0.0
10,0,inf
10,1,0.0
10,2,0.0
10,3,0.0
10,4,inf
10,5,0.0
10,6,0.0
10,7,0.0
10,8,0.0
10,9,0.0
10,10,0.0
10,11,0.0
11,0,inf
11,1,0.0
11,2,0.0
11,3,0.0
11,4,inf
11,5,0.0
11,6,0.0
11,7,0.0
11,8,0.0
11,9,0.0
11,10,0.0
11,11,0.0
