id,city,country,latitude,longitude
0,Southampton Aggregation,United Kingdom,50.9,-1.4
1,Southampton,United Kingdom,50.9,-1.4
2,Winchester,United Kingdom,51.06513,-1.3187
3,Portsmouth,United Kingdom,50.80908,-1.07142
4,Bournemouth,United Kingdom,50.71667,-1.88333
5,Bere Regis Colocation,United Kingdom,50.68333,-2.11667
6,Solent,United Kingdom,50.9,-1.4
7,Bournemouth Aggregation,United Kingdom,50.71667,-1.88333
8,Isle of Wight Colocation,United Kingdom,50.66667,-1.33333
9,Hampton Park Colocation,United Kingdom,50.76871,0.28453
10,Wymering,United Kingdom,50.85164,-1.07404
11,Chichester,United Kingdom,50.83673,-0.78003
12,Janet SJ,,0.0,0.0
13,Southampton Core,United Kingdom,50.9,-1.4
14,Aldershot Core,United Kingdom,51.25,-0.76667
15,Brighton Aggregation,United Kingdom,50.82838,-0.13947
16,Brighton,United Kingdom,50.82838,-0.13947
17,Sussex,United Kingdom,50.76871,0.28453
18,Surrey,United Kingdom,51.31903,-0.55893
19,Aldershot Aggregation,United Kingdom,51.25,-0.76667
